2.5 0.25 0.0037037
2.5 0.75 0.00305011
2.5 1.25 0.000326797
2.5 1.75 0.000108932
2.5 2.25 0
2.5 2.75 0
2.5 3.25 0
2.5 3.75 0
2.5 4.25 0
7.5 0.25 0.0230937
7.5 0.75 0.0395425
7.5 1.25 0.021024
7.5 1.75 0.00588235
7.5 2.25 0.00087146
7.5 2.75 0.000217865
7.5 3.25 0
7.5 3.75 0
7.5 4.25 0
12.5 0.25 0.0199346
12.5 0.75 0.0364924
12.5 1.25 0.0315904
12.5 1.75 0.0143791
12.5 2.25 0.0040305
12.5 2.75 0.000544662
12.5 3.25 0
12.5 3.75 0
12.5 4.25 0
17.5 0.25 0.0123094
17.5 0.75 0.029085
17.5 1.25 0.0259259
17.5 1.75 0.0166667
17.5 2.25 0.00686275
17.5 2.75 0.00141612
17.5 3.25 0.000217865
17.5 3.75 0.000108932
17.5 4.25 0
22.5 0.25 0.00936819
22.5 0.75 0.0214597
22.5 1.25 0.0244009
22.5 1.75 0.0155773
22.5 2.25 0.00882353
22.5 2.75 0.00261438
22.5 3.25 0.00119826
22.5 3.75 0.000108932
22.5 4.25 0
27.5 0.25 0.00816993
27.5 0.75 0.0202614
27.5 1.25 0.0183007
27.5 1.75 0.0151416
27.5 2.25 0.00620915
27.5 2.75 0.00305011
27.5 3.25 0.000762527
27.5 3.75 0.000108932
27.5 4.25 0
32.5 0.25 0.00544662
32.5 0.75 0.0154684
32.5 1.25 0.0178649
32.5 1.75 0.0111111
32.5 2.25 0.00631808
32.5 2.75 0.00250545
32.5 3.25 0.000762527
32.5 3.75 0.000217865
32.5 4.25 0
37.5 0.25 0.00686275
37.5 0.75 0.0126362
37.5 1.25 0.0139434
37.5 1.75 0.0100218
37.5 2.25 0.00610022
37.5 2.75 0.00315904
37.5 3.25 0.000980392
37.5 3.75 0.000108932
37.5 4.25 0
42.5 0.25 0.00653595
42.5 0.75 0.011329
42.5 1.25 0.0133987
42.5 1.75 0.00751634
42.5 2.25 0.00533769
42.5 2.75 0.00163399
42.5 3.25 0.00087146
42.5 3.75 0.000326797
42.5 4.25 0.000108932
47.5 0.25 0.0046841
47.5 0.75 0.00947712
47.5 1.25 0.0103486
47.5 1.75 0.00849673
47.5 2.25 0.00511983
47.5 2.75 0.00185185
47.5 3.25 0.00043573
47.5 3.75 0.000217865
47.5 4.25 0
52.5 0.25 0.0040305
52.5 0.75 0.00969499
52.5 1.25 0.0118736
52.5 1.75 0.00729847
52.5 2.25 0.0037037
52.5 2.75 0.00152505
52.5 3.25 0.00087146
52.5 3.75 0.000217865
52.5 4.25 0.000217865
57.5 0.25 0.00315904
57.5 0.75 0.00936819
57.5 1.25 0.008061
57.5 1.75 0.0083878
57.5 2.25 0.00413943
57.5 2.75 0.00163399
57.5 3.25 0.000653595
57.5 3.75 0
57.5 4.25 0
62.5 0.25 0.00413943
62.5 0.75 0.00882353
62.5 1.25 0.00729847
62.5 1.75 0.00708061
62.5 2.25 0.00305011
62.5 2.75 0.00141612
62.5 3.25 0.00043573
62.5 3.75 0.00043573
62.5 4.25 0
67.5 0.25 0.00261438
67.5 0.75 0.00740741
67.5 1.25 0.00620915
67.5 1.75 0.00522876
67.5 2.25 0.00348584
67.5 2.75 0.00130719
67.5 3.25 0.000217865
67.5 3.75 0.000217865
67.5 4.25 0
72.5 0.25 0.0037037
72.5 0.75 0.00555556
72.5 1.25 0.00566449
72.5 1.75 0.00479303
72.5 2.25 0.00228758
72.5 2.75 0.00108932
72.5 3.25 0.000544662
72.5 3.75 0.000217865
72.5 4.25 0.000108932
77.5 0.25 0.00250545
77.5 0.75 0.00490196
77.5 1.25 0.00533769
77.5 1.75 0.00359477
77.5 2.25 0.00185185
77.5 2.75 0.00087146
77.5 3.25 0.000217865
77.5 3.75 0.000108932
77.5 4.25 0
82.5 0.25 0.00294118
82.5 0.75 0.00511983
82.5 1.25 0.00675381
82.5 1.75 0.00272331
82.5 2.25 0.00174292
82.5 2.75 0.00119826
82.5 3.25 0.000108932
82.5 3.75 0.00043573
82.5 4.25 0
87.5 0.25 0.00152505
87.5 0.75 0.0037037
87.5 1.25 0.00501089
87.5 1.75 0.00326797
87.5 2.25 0.00163399
87.5 2.75 0.000653595
87.5 3.25 0.000980392
87.5 3.75 0.000108932
87.5 4.25 0
92.5 0.25 0.00294118
92.5 0.75 0.0037037
92.5 1.25 0.00326797
92.5 1.75 0.00413943
92.5 2.25 0.00185185
92.5 2.75 0.000326797
92.5 3.25 0.000544662
92.5 3.75 0.000108932
92.5 4.25 0.000217865
97.5 0.25 0.00239651
97.5 0.75 0.0037037
97.5 1.25 0.00261438
97.5 1.75 0.00305011
97.5 2.25 0.00163399
97.5 2.75 0.00087146
97.5 3.25 0.00043573
97.5 3.75 0
97.5 4.25 0
102.5 0.25 0.00130719
102.5 0.75 0.0040305
102.5 1.25 0.00315904
102.5 1.75 0.00239651
102.5 2.25 0.000762527
102.5 2.75 0.000762527
102.5 3.25 0.000217865
102.5 3.75 0
102.5 4.25 0
107.5 0.25 0.00152505
107.5 0.75 0.00272331
107.5 1.25 0.00217865
107.5 1.75 0.00174292
107.5 2.25 0.00087146
107.5 2.75 0
107.5 3.25 0.000108932
107.5 3.75 0.000108932
107.5 4.25 0.000108932
112.5 0.25 0.000980392
112.5 0.75 0.00228758
112.5 1.25 0.00228758
112.5 1.75 0.00196078
112.5 2.25 0.00087146
112.5 2.75 0.00043573
112.5 3.25 0.000108932
112.5 3.75 0.000108932
112.5 4.25 0.000108932
117.5 0.25 0.00130719
117.5 0.75 0.00119826
117.5 1.25 0.00206972
117.5 1.75 0.00163399
117.5 2.25 0.00141612
117.5 2.75 0.000653595
117.5 3.25 0.00043573
117.5 3.75 0
117.5 4.25 0
122.5 0.25 0.000980392
