# Bad burst ranges for the determination of bad bursts.
# Produced for 2017B, v1.0.0. Updated for 2017B, v1.0.3.
# The ranges are read by NumberOfHitsMonitor.
# The line format: RunNumber Detector NHits_min NHits_max NCandidates_min NCandidates_max
# -1.000 means that the default value obtained in the fit is used.
# Any number different from -1.000 is the hand-made correction.
#
 7876            HAC   0.200   0.500  -1.000  -1.000
 7876           MUV0   0.020   0.050  -1.000  -1.000
 7876            SAV   0.200   0.600   0.100   0.400
 7878            SAV   0.200   0.600   0.100   0.400
 7883           MUV0   0.020   0.050  -1.000  -1.000
 7902            IRC   0.300   0.500  -1.000  -1.000
 7906            SAV   0.300   0.600   0.100   0.400
 7909           MUV0   0.020   0.050  -1.000  -1.000
 7939            SAV   0.300   0.600  -1.000  -1.000
 7949            HAC   0.300   0.500   0.100   0.150
 7956           MUV2   1.500   2.000   0.600   0.800
 7966            HAC   0.100   1.000  -1.000  -1.000
 7978           MUV0   0.020   0.060  -1.000  -1.000
 7978           MUV1   5.000   8.000   1.500   2.500
 7978            SAV   0.300   0.600  -1.000  -1.000
 7982            SAV   0.300   0.600   0.200   0.400
 7984           MUV0   0.020   0.060  -1.000  -1.000
 7984           MUV1   6.000   8.000  -1.000  -1.000
 7985           MUV0   0.020   0.060  -1.000  -1.000
 7987           MUV0   0.020   0.060  -1.000  -1.000
 8001            SAV   0.300   0.600   0.200   0.400
 8003            SAV   0.200   0.500   0.200   0.300
 8010            IRC   0.300   0.500  -1.000  -1.000
 8014            SAV   0.200   0.600  -1.000  -1.000
 8027            SAV   0.300   0.600   0.200   0.400
 8038            IRC   0.200   0.600  -1.000  -1.000
 8038           MUV1   6.000   8.000  -1.000  -1.000
 8039            IRC   0.200   0.600  -1.000  -1.000
 8039           MUV1   6.000   8.000  -1.000  -1.000
 8039           MUV2  -1.000  -1.000   0.600   0.800
 8046            SAV  -1.000  -1.000   0.200   0.300
 8065           MUV2   1.500   2.000   0.600   0.800
 8084           MUV0   0.020   0.060  -1.000  -1.000
 8084            SAC   0.050   0.100  -1.000  -1.000
 8094           MUV0   0.020   0.050  -1.000  -1.000
 8094            SAV   0.300   0.600   0.200   0.400
 8101            SAV  -1.000  -1.000   0.200   0.400
 8102            SAV   0.400   0.600   0.200   0.400
 8105           MUV0   0.020   0.060  -1.000  -1.000
 8107            SAV   0.400   0.600   0.200   0.400
