# Average slewing corrections obtained with run 12995.
# Channels 411 410 591 590 561 560 399 398 behave differently and have been fitted separately with CHANTITimeSlewing
#-----------------------------------------------------------------------------------
#SeqID 	p0       	p1			p2	     
#-----------------------------------------------------------------------------------
176    -0.04189    8.21      1.8425
177    -0.03482	   13.68      0.4442
178    -0.04189    8.21      1.8425
179    -0.03482	   13.68      0.4442
180    -0.04189    8.21      1.8425
181    -0.03482	   13.68      0.4442
182    -0.04189    8.21      1.8425
183    -0.03482	   13.68      0.4442
184    -0.04189    8.21      1.8425
185    -0.03482	   13.68      0.4442
186    -0.04189    8.21      1.8425
187    -0.03482	   13.68      0.4442
188    -0.04189    8.21      1.8425
189    -0.03482	   13.68      0.4442
190    -0.04189    8.21      1.8425
191    -0.03482	   13.68      0.4442
192    -0.04189    8.21      1.8425
193    -0.03482	   13.68      0.4442
194    -0.04189    8.21      1.8425
195    -0.03482	   13.68      0.4442
196    -0.04189    8.21      1.8425
197    -0.03482	   13.68      0.4442
198    -0.04189    8.21      1.8425
199    -0.03482	   13.68      0.4442
200    -0.04189    8.21      1.8425
201    -0.03482	   13.68      0.4442
202    -0.04189    8.21      1.8425
203    -0.03482	   13.68      0.4442
204    -0.04189    8.21      1.8425
205    -0.03482	   13.68      0.4442
206    -0.04189    8.21      1.8425
207    -0.03482	   13.68      0.4442
208    -0.04189    8.21      1.8425
209    -0.03482	   13.68      0.4442
210    -0.04189    8.21      1.8425
211    -0.03482	   13.68      0.4442
212    -0.04189    8.21      1.8425
213    -0.03482	   13.68      0.4442
214    -0.04189    8.21      1.8425
215    -0.03482	   13.68      0.4442
216    -0.04189    8.21      1.8425
217    -0.03482	   13.68      0.4442
218    -0.04189    8.21      1.8425
219    -0.03482	   13.68      0.4442
220    -0.04189    8.21      1.8425
221    -0.03482	   13.68      0.4442
222    -0.04189    8.21      1.8425
223    -0.03482	   13.68      0.4442
224    -0.04189    8.21      1.8425
225    -0.03482	   13.68      0.4442
226    -0.04189    8.21      1.8425
227    -0.03482	   13.68      0.4442
228    -0.04189    8.21      1.8425
229    -0.03482	   13.68      0.4442
230    -0.04189    8.21      1.8425
231    -0.03482	   13.68      0.4442
232    -0.04189    8.21      1.8425
233    -0.03482	   13.68      0.4442
234    -0.04189    8.21      1.8425
235    -0.03482	   13.68      0.4442
236    -0.04189    8.21      1.8425
237    -0.03482	   13.68      0.4442
238    -0.04189    8.21      1.8425
239    -0.03482	   13.68      0.4442
240    -0.04189    8.21      1.8425
