REFSHAPE   500  1999     2    2015_03_08
*---  Made with calib-7 ( run 1587, 2015_02_23)
*---  This is the best calib run for the 2014 data
****
    0    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    0   16   31    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    0   32   47    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    0   48   63    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    0   64   79    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    0   80   95    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    0   96  111    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    0  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    1    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    1   16   31    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    1   32   47    4   4   4   4   4   5   5   4   6   9   3  10   8   8  10   9
    1   48   63    2   4   7   6   4   7   7   5   6   6   5   6  10   4   7   3
    1   64   79   11   3   7  10   6   8  10   3  11  10   9   8   8   1   4   1
    1   80   95    5   4   7   3   5   5   3   4   4   6   7   4   4   4   4   4
    1   96  111    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    1  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    2    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    2   16   31    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    2   32   47    4   4   4   4   5   6   4   5   4  10  10   3   9   9  10   9
    2   48   63   12   2   5   4   5   5   4   2  10   9   8  11   9  10  10   9
    2   64   79    4   4   5   4   5   5   4   2  10   9   7   5   7  12  12   6
    2   80   95   10   2  12   7  10   1  12   9   3   5   3   7   4   4   4   4
    2   96  111    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    2  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    3    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    3   16   31    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    3   32   47    4   4   4   5   6   5   4   1  12  11   6   9   7  10  10   9
    3   48   63   12   5  10  10   4   3  11   8  11   4  11  11   4  11   3   8
    3   64   79   10  11   4   9   9   9  10   7   6   4   1   5  10   7   6  12
    3   80   95    1   7  10   9   7   8   8  12   2   6   6   5   6   4   4   4
    3   96  111    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    3  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    4    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    4   16   31    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    4   32   47    4   4   6   5   6   3   4   2   7   8  10  10  10   2  11   9
    4   48   63    8   6  10   6   9   4   4  11   2   4   4   4   2   5   5   3
    4   64   79    6   4   4   5   7   4   4   4   4   7   3   5   6   4   6   5
    4   80   95    3   5   4   4   2   4   4   4   4   5   4   4   6   6   4   4
    4   96  111    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    4  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    5    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    5   16   31    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    5   32   47    4  10  12   4   7   8   8  11   9   4  10   8   9  10   3   5
    5   48   63    7   4  10   5   5   9   4   9  12   4   6   6  11  10  10   7
    5   64   79    2   6   3   4   6   3   4   5   9   3  11   8  11   8   4  11
    5   80   95    3   3   5   3   6   3   4   5   5   3  12   4   8   3   8   4
    5   96  111    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    5  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    6    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    6   16   31    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    6   32   47    4   4   4   6   5   2   5   4   5   8   5   3   5   6   7   2
    6   48   63   12   6  12   8  12   3   7  11   4   4   6   5   4   5   3   1
    6   64   79    4   5   5   5   5   6   6   4   3   6   3   6   4   4   5   2
    6   80   95    3  11   5   4   4   5   3   4   4   5   3   1   8   3   7   5
    6   96  111    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    6  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    7    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    7   16   31    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    7   32   47    6   4   6   4   4   6   3   3   4   5   6   6   3   3   6   4
    7   48   63    4   4   5   4   1   1   1   7   4   6   4   7   5   4   6   4
    7   64   79    6   7   5   3   8   2   3   7   4   4   5   5   6   3   4   3
    7   80   95    4   5   3   5   4   5   4   4   5   7   6   4   9   4   4   5
    7   96  111    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    7  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    8    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    8   16   31    4   4   4   4   4   4   4   4   4   4   4   4   4   4   5   3
    8   32   47   12   1   3  10  12   1  12   5   8   3   4   4   5   5   6   4
    8   48   63    2   4   3   4   3   5   4   3   6  11   6   5   5   8  12   6
    8   64   79    7  11   5   6  12   6   7  11   3   6  10   9   4  11   1   4
    8   80   95   12   5  10  10   5   5   7  11   7   7   2   3  12  10   2   4
    8   96  111    5   5   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    8  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    9    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
    9   16   31    4   4   4   4   4   4   4   4   4   4   4   4   4   6   5   5
    9   32   47   11   3  10  12   7   7   8  10   5   1   8   2   6   4   6   4
    9   48   63    6   2   8   2   4   8   3   3  11   7  10   1   5   6   7   5
    9   64   79   12   2  11  10   8  11   5   8  12   6  11   7   1  12   4  11
    9   80   95    3   5  12   7   7   7  12   8   6   2   8   6   8   7  10   7
    9   96  111    2   3  10   4   4   4   4   4   4   4   4   4   4   4   4   4
    9  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   10    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   10   16   31    4   4   4   4   4   4   4   4   4   4   4   4   5  10   3   3
   10   32   47   10   5   7   5  12   8  11   9   5   3   5   4   5   3   6   5
   10   48   63    4   1   4   1   5   1   1   2   9   1  10   6   4   6  11   9
   10   64   79    3   7   7   6  11   2   7   8   8   9   9   5  11  10   7   5
   10   80   95    5   4   5   2   7   4   5   4   5   2   4   5   3   4   3   2
   10   96  111    5   4   4   6   4   4   4   4   4   4   4   4   4   4   4   4
   10  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   11    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   11   16   31    4   4   4   4   4   4   4   4   4   4   4   4   4   4   6   3
   11   32   47    9  10   8  12   3   9   7   2   9   3   3   7   4   2  12   7
   11   48   63    2   7   2   6   5   7   4   4   1   7   5   2   5   6   6   4
   11   64   79    4   3   5   5   5   4   4   5   3  11  12   4  10   7   5   7
   11   80   95   10   5   8  11   2  12   3  11   7   1  11   2   8  10  12  10
   11   96  111    4   5   5   8   5   4   4   4   4   4   4   4   4   4   4   4
   11  112  127    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   12    0   15    4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4
   12   16   31    4   4   4   4   4   4   4   4   4   4   6   1   7   3   2   5
   12   32   47   10   8   6   9   8   5   8   7   5   9   3   8   8   9   8  10
   12   48   63    7   8   8  11   2   5  12   9   3   6   4   5   4   6   4   5
   12   64   79    2   5   4   5   3   6   5   3   4   4   5   4   4   2   3   4
   12   80   95    3   3   4   6   4   4   4   5   4   5   4   4   5   4   4   7
   12   96  111    3   1   5   4   5  10   4   4   4   4   4   4   4   4   4   4
