  CROCUS    3790  3820     1    2018_01_25
*-----         LKr Crocus Reference Table
*-----      From run 3809 taken 2017_08_21, 50 bursts from 101-161 
*-----
*-----      Jurgen Engelfried, 29 November 2018
*-----                                                                
*-----     NCR  Unit    J  K    ix  iy   HITS-J   HITS-K     diff     
           428  2705    9 25   105  30     1940        0     1940.      44.0      44.0
           428  2705   10 26   105  29     1686     1449      237.      56.0       4.2
           428  2705   11 27   105  28     1816     1634      182.      58.7       3.1
           428  2705   12 28   105  27     1940     1080      860.      55.0      15.6
           428  2705   13 29   105  26     1252      975      277.      47.2       5.9
           428  2705   14 30   105  25     1319     1799     -480.      55.8      -8.6
           428  2705   15 31   105  24     1127     1313     -186.      49.4      -3.8
 
 >>Cream   429  2709    0 16   104  23     1020     1194     -174.      47.1      -3.7
           429  2709    1 17   104  22      940      653      287.      39.9       7.2
           429  2709    2 18   104  21     1008      841      167.      43.0       3.9
           429  2709    3 19   104  20     1072      839      233.      43.7       5.3
           429  2709    4 20   104  19      603      868     -265.      38.4      -6.9
           429  2709    5 21   104  18      642      685      -43.      36.4      -1.2
           429  2709    6 22   104  17      771     2096    -1325.      53.5     -24.7
           429  2709    7 23   104  16      785        0      785.      28.0      28.0
           429  2709    8 24   105  23      847     1971    -1124.      53.1     -21.2
           429  2709    9 25   105  22     1037     1052      -15.      45.7      -0.3
           429  2709   10 26   105  21      824      751       73.      39.7       1.8
           429  2709   11 27   105  20     2241      676     1565.      54.0      29.0
           429  2709   12 28   105  19      895      542      353.      37.9       9.3
           429  2709   13 29   105  18      627     1038     -411.      40.8     -10.1
           429  2709   14 30   105  17   545057        0   545057.     738.3     738.3
           429  2709   15 31   105  16     8635        0     8635.      92.9      92.9
 
 >>Cream   434  2416    0 16   108 111        0        0        0.       0.0       0.0
           434  2416    1 17   108 110        0        0        0.       0.0       0.0
           434  2416    2 18   108 109        0        0        0.       0.0       0.0
           434  2416    3 19   108 108     6816        0     6816.      82.6      82.6
           434  2416    4 20   108 107     1181        0     1181.      34.4      34.4
           434  2416    5 21   108 106     1069     1073       -4.      46.3      -0.1
           434  2416    6 22   108 105      863      591      272.      38.1       7.1
           434  2416    7 23   108 104     2655      826     1829.      59.0      31.0
           434  2416    8 24   109 111        0        0        0.       0.0       0.0
           434  2416    9 25   109 110        0        0        0.       0.0       0.0
           434  2416   10 26   109 109        0        0        0.       0.0       0.0
           434  2416   11 27   109 108        0        0        0.       0.0       0.0
           434  2416   12 28   109 107     3882        0     3882.      62.3      62.3
           434  2416   13 29   109 106      847        0      847.      29.1      29.1
           434  2416   14 30   109 105      657  2002893 -2002236.    1415.5   -1414.5
           434  2416   15 31   109 104      797      514      283.      36.2       7.8
 
 >>Cream   435  2420    0 16   108 103     1857     1684      173.      59.5       2.9
           435  2420    1 17   108 102     1040      836      204.      43.3       4.7
           435  2420    2 18   108 101     1209     1020      189.      47.2       4.0
           435  2420    3 19   108 100      917     3079    -2162.      63.2     -34.2
           435  2420    4 20   108  99     1401     1101      300.      50.0       6.0
           435  2420    5 21   108  98     1346     1086      260.      49.3       5.3
           435  2420    6 22   108  97     2279      993     1286.      57.2      22.5
           435  2420    7 23   108  96     1461     1066      395.      50.3       7.9
           435  2420    8 24   109 103      898      690      208.      39.8       5.2
           435  2420    9 25   109 102     1581      888      693.      49.7      13.9
           435  2420   10 26   109 101     1061      847      214.      43.7       4.9
           435  2420   11 27   109 100     1065    70200   -69135.     267.0    -259.0
           435  2420   12 28   109  99     1432      981      451.      49.1       9.2
           435  2420   13 29   109  98     1257     4662    -3405.      76.9     -44.3
           435  2420   14 30   109  97     3679     1045     2634.      68.7      38.3
           435  2420   15 31   109  96     1470     1123      347.      50.9       6.8
 
 >>Cream   436  2506    0 16   108  95     1433     1606     -173.      55.1      -3.1
           436  2506    1 17   108  94     2170     1298      872.      58.9      14.8
           436  2506    2 18   108  93     1661     1523      138.      56.4       2.4
           436  2506    3 19   108  92     2077     1986       91.      63.7       1.4
           436  2506    4 20   108  91     2765     2133      632.      70.0       9.0
           436  2506    5 21   108  90     2134     2061       73.      64.8       1.1
           436  2506    6 22   108  89     2743     3447     -704.      78.7      -8.9
           436  2506    7 23   108  88     3195     2301      894.      74.1      12.1
           436  2506    8 24   109  95     6543      965     5578.      86.6      64.4
           436  2506    9 25   109  94    56145     1634    54511.     240.4     226.8
           436  2506   10 26   109  93    18948     1308    17640.     142.3     123.9
           436  2506   11 27   109  92    22885     1483    21402.     156.1     137.1
           436  2506   12 28   109  91    28633     1661    26972.     174.1     155.0
           436  2506   13 29   109  90     8654     2112     6542.     103.8      63.0
           436  2506   14 30   109  89    15565     2003    13562.     132.5     102.3
           436  2506   15 31   109  88    15754     2123    13631.     133.7     101.9
 
 >>Cream   437  2510    0 16   108  87     2141     2111       30.      65.2       0.5
           437  2510    1 17   108  86     2704     2520      184.      72.3       2.5
           437  2510    2 18   108  85     3490     2525      965.      77.6      12.4
           437  2510    3 19   108  84     3010     2640      370.      75.2       4.9
           437  2510    4 20   108  83     3460     2918      542.      79.9       6.8
           437  2510    5 21   108  82     3117     2964      153.      78.0       2.0
           437  2510    6 22   108  81     3536     3178      358.      81.9       4.4
           437  2510    7 23   108  80     3368     3149      219.      80.7       2.7
           437  2510    8 24   109  87     3036     1873     1163.      70.1      16.6
           437  2510    9 25   109  86     3360     2202     1158.      74.6      15.5
           437  2510   10 26   109  85     2485     3441     -956.      77.0     -12.4
           437  2510   11 27   109  84     2685    74698   -72013.     278.2    -258.9
           437  2510   12 28   109  83     3260     2678      582.      77.1       7.6
