CHAPEDES  7000  7999     1    2017_11_18
   83    1    0   398.98    2.68
   84    1    0   399.18    2.20
   85    1    0   397.92    2.21
   86    1    0   400.25    2.34
   87    1    0   400.42    2.13
   88    1    0   396.93    2.36
   89    1    0   397.52    2.16
   90    1    0   386.40    2.66
   91    1   99     0.00    0.00
   92    1   99     0.00    0.00
   93    1   99     0.00    0.00
   94    1   99     0.00    0.00
   95    1   99     0.00    0.00
   96    1   99     0.00    0.00
   97    1   99     0.00    0.00
   98    1   99     0.00    0.00
   99    1   99     0.00    0.00
  100    1   99     0.00    0.00
  101    1   99     0.00    0.00
  102    1   99     0.00    0.00
  103    1   99     0.00    0.00
  104    1   99     0.00    0.00
  105    1   99     0.00    0.00
  106    1   99     0.00    0.00
  107    1   99     0.00    0.00
  108    1   99     0.00    0.00
  109    1   99     0.00    0.00
  110    1   99     0.00    0.00
  111    1   99     0.00    0.00
  112    1   99     0.00    0.00
  113    1   99     0.00    0.00
  114    1   99     0.00    0.00
  115    1   99     0.00    0.00
  116    1   99     0.00    0.00
  117    1   99     0.00    0.00
  118    1   99     0.00    0.00
  119    1   99     0.00    0.00
  120    1   99     0.00    0.00
  121    1   99     0.00    0.00
  122    1   99     0.00    0.00
  123    1   99     0.00    0.00
  124    1   99     0.00    0.00
  125    1   99     0.00    0.00
  126    1   99     0.00    0.00
  127    1   99     0.00    0.00
    0    2   99     0.00    0.00
    1    2   99     0.00    0.00
    2    2   99     0.00    0.00
    3    2   99     0.00    0.00
    4    2   99     0.00    0.00
    5    2   99     0.00    0.00
    6    2   99     0.00    0.00
    7    2   99     0.00    0.00
    8    2   99     0.00    0.00
    9    2   99     0.00    0.00
   10    2   99     0.00    0.00
   11    2   99     0.00    0.00
   12    2   99     0.00    0.00
   13    2   99     0.00    0.00
   14    2   99     0.00    0.00
   15    2   99     0.00    0.00
   16    2   99     0.00    0.00
   17    2   99     0.00    0.00
   18    2   99     0.00    0.00
   19    2   99     0.00    0.00
   20    2   99     0.00    0.00
   21    2   99     0.00    0.00
   22    2   99     0.00    0.00
   23    2   99     0.00    0.00
   24    2   99     0.00    0.00
   25    2   99     0.00    0.00
   26    2   99     0.00    0.00
   27    2   99     0.00    0.00
   28    2   99     0.00    0.00
   29    2   99     0.00    0.00
   30    2   99     0.00    0.00
   31    2   99     0.00    0.00
   32    2   99     0.00    0.00
   33    2   99     0.00    0.00
   34    2   99     0.00    0.00
   35    2   99     0.00    0.00
   36    2    0   424.40    2.11
   37    2    0   406.18    2.25
   38    2    0   401.54    3.00
   39    2    0   398.41    2.01
   40    2    0   401.76    2.18
   41    2    0   400.51    2.16
   42    2    0   399.37    2.03
   43    2    0   401.45    2.11
   44    2    0   396.75    2.12
   45    2    0   400.47    2.21
   46    2    0   401.29    2.10
   47    2    0   399.36    2.17
   48    2    0   401.82    2.11
   49    2    0   394.83    2.04
   50    2    0   397.57    2.12
   51    2    0   401.94    3.22
   52    2    0   402.88    2.18
   53    2    0   403.24    1.93
   54    2    0   402.36    2.21
   55    2    0   403.01    2.10
   56    2    0   400.20    2.17
   57    2    0   400.93    2.08
   58    2    0   400.15    2.06
   59    2    0   402.03    2.03
   60    2    0   401.02    1.90
   61    2    0   402.19    2.50
   62    2    0   403.43    2.28
   63    2    0   402.67    2.09
   64    2    0   397.22    2.14
   65    2    0   400.81    1.92
   66    2    0   416.36    2.17
   67    2    0   401.69    2.09
   68    2    0   399.38    2.10
   69    2    0   398.20    2.11
   70    2    0   398.26    2.08
   71    2    0   402.24    2.13
   72    2    0   402.65    2.14
   73    2    0   399.24    1.97
   74    2    0   399.46    2.28
   75    2    0   404.20    2.44
   76    2    0   402.45    2.20
   77    2    0   400.75    2.47
   78    2    0   399.01    2.58
   79    2    0   399.43    2.25
   80    2    0   381.45    2.10
   81    2    0   402.22    2.06
   82    2    0   398.41    2.61
   83    2    0   392.75    2.17
   84    2    0   398.99    2.10
   85    2    0   401.54    2.45
   86    2    0   398.72    2.39
   87    2    0   399.14    2.13
   88    2    0   398.61    2.55
   89    2    0   400.44    2.21
   90    2    0   402.24    2.72
   91    2    0   400.69    2.13
   92    2   99     0.00    0.00
   93    2   99     0.00    0.00
   94    2   99     0.00    0.00
   95    2   99     0.00    0.00
   96    2   99     0.00    0.00
   97    2   99     0.00    0.00
   98    2   99     0.00    0.00
   99    2   99     0.00    0.00
  100    2   99     0.00    0.00
  101    2   99     0.00    0.00
  102    2   99     0.00    0.00
  103    2   99     0.00    0.00
  104    2   99     0.00    0.00
  105    2   99     0.00    0.00
  106    2   99     0.00    0.00
  107    2   99     0.00    0.00
  108    2   99     0.00    0.00
  109    2   99     0.00    0.00
  110    2   99     0.00    0.00
  111    2   99     0.00    0.00
  112    2   99     0.00    0.00
  113    2   99     0.00    0.00
  114    2   99     0.00    0.00
  115    2   99     0.00    0.00
  116    2   99     0.00    0.00
  117    2   99     0.00    0.00
  118    2   99     0.00    0.00
  119    2   99     0.00    0.00
  120    2   99     0.00    0.00
  121    2   99     0.00    0.00
  122    2   99     0.00    0.00
  123    2   99     0.00    0.00
  124    2   99     0.00    0.00
  125    2   99     0.00    0.00
  126    2   99     0.00    0.00
  127    2   99     0.00    0.00
    0    3   99     0.00    0.00
    1    3   99     0.00    0.00
    2    3   99     0.00    0.00
    3    3   99     0.00    0.00
    4    3   99     0.00    0.00
    5    3   99     0.00    0.00
    6    3   99     0.00    0.00
    7    3   99     0.00    0.00
    8    3   99     0.00    0.00
    9    3   99     0.00    0.00
   10    3   99     0.00    0.00
   11    3   99     0.00    0.00
   12    3   99     0.00    0.00
   13    3   99     0.00    0.00
   14    3   99     0.00    0.00
   15    3   99     0.00    0.00
   16    3   99     0.00    0.00
   17    3   99     0.00    0.00
   18    3   99     0.00    0.00
   19    3   99     0.00    0.00
   20    3   99     0.00    0.00
   21    3   99     0.00    0.00
   22    3   99     0.00    0.00
   23    3   99     0.00    0.00
   24    3   99     0.00    0.00
   25    3   99     0.00    0.00
   26    3   99     0.00    0.00
   27    3   99     0.00    0.00
   28    3   99     0.00    0.00
   29    3   99     0.00    0.00
   30    3   99     0.00    0.00
   31    3   99     0.00    0.00
   32    3   99     0.00    0.00
   33    3   99     0.00    0.00
   34    3   99     0.00    0.00
   35    3    0   400.40    2.80
   36    3    0   401.68    2.11
   37    3    0   397.54    2.18
   38    3    0   408.16    2.19
   39    3    0   400.26    2.07
   40    3    0   399.81    2.19
   41    3    0   399.45    2.19
   42    3    0   395.72    2.21
   43    3    0   397.82    2.27
   44    3    0   411.99    2.22
   45    3    0   400.87    2.17
   46    3    0   407.99    2.14
   47    3    0   400.47    2.18
   48    3    0   400.28    2.15
   49    3    0   399.28    1.91
   50    3    0   383.17    2.26
   51    3    0   399.89    2.25
   52    3    0   402.65    2.08
   53    3    0   401.70    2.18
   54    3    0   401.30    2.14
   55    3    0   402.73    2.08
   56    3    0   398.32    2.22
   57    3    0   400.60    2.10
   58    3    0   402.27    2.19
   59    3    0   398.24    2.07
   60    3    0   402.29    2.13
   61    3    0   404.48    2.25
   62    3    0   395.33    2.15
   63    3    0   390.84    2.09
   64    3    0   399.22    2.13
   65    3    0   401.53    4.40
   66    3    0   400.83    2.09
   67    3    0   399.88    2.12
   68    3    0   389.77    2.13
   69    3    0   404.96    2.03
   70    3    0   401.22    2.13
   71    3    0   399.51    2.33
   72    3    0   399.68    2.12
   73    3    0   399.52    2.06
   74    3    0   400.31    2.77
   75    3    0   401.65    2.13
   76    3    0   398.76    2.26
   77    3    0   398.17    2.60
   78    3    0   402.18    2.81
   79    3    0   403.59    2.24
   80    3    0   397.80    2.20
   81    3    0   402.36    2.18
   82    3    0   399.02    2.30
   83    3    0   399.79    2.85
   84    3    0   401.86    2.21
   85    3    0   399.36    2.63
   86    3    0   396.35    2.64
   87    3    0   405.43    2.09
   88    3    0   399.70    2.55
   89    3    0   398.43    2.11
   90    3    0   400.53    2.48
   91    3    0   397.67    2.33
   92    3    0   399.61    2.62
   93    3   99     0.00    0.00
   94    3   99     0.00    0.00
   95    3   99     0.00    0.00
   96    3   99     0.00    0.00
   97    3   99     0.00    0.00
   98    3   99     0.00    0.00
   99    3   99     0.00    0.00
  100    3   99     0.00    0.00
  101    3   99     0.00    0.00
  102    3   99     0.00    0.00
  103    3   99     0.00    0.00
  104    3   99     0.00    0.00
  105    3   99     0.00    0.00
  106    3   99     0.00    0.00
  107    3   99     0.00    0.00
  108    3   99     0.00    0.00
  109    3   99     0.00    0.00
  110    3   99     0.00    0.00
  111    3   99     0.00    0.00
  112    3   99     0.00    0.00
  113    3   99     0.00    0.00
  114    3   99     0.00    0.00
  115    3   99     0.00    0.00
  116    3   99     0.00    0.00
  117    3   99     0.00    0.00
  118    3   99     0.00    0.00
  119    3   99     0.00    0.00
  120    3   99     0.00    0.00
  121    3   99     0.00    0.00
  122    3   99     0.00    0.00
  123    3   99     0.00    0.00
  124    3   99     0.00    0.00
  125    3   99     0.00    0.00
  126    3   99     0.00    0.00
  127    3   99     0.00    0.00
    0    4   99     0.00    0.00
    1    4   99     0.00    0.00
    2    4   99     0.00    0.00
    3    4   99     0.00    0.00
    4    4   99     0.00    0.00
    5    4   99     0.00    0.00
    6    4   99     0.00    0.00
    7    4   99     0.00    0.00
    8    4   99     0.00    0.00
    9    4   99     0.00    0.00
   10    4   99     0.00    0.00
   11    4   99     0.00    0.00
   12    4   99     0.00    0.00
   13    4   99     0.00    0.00
   14    4   99     0.00    0.00
   15    4   99     0.00    0.00
   16    4   99     0.00    0.00
   17    4   99     0.00    0.00
   18    4   99     0.00    0.00
   19    4   99     0.00    0.00
   20    4   99     0.00    0.00
   21    4   99     0.00    0.00
   22    4   99     0.00    0.00
   23    4   99     0.00    0.00
   24    4   99     0.00    0.00
   25    4   99     0.00    0.00
   26    4   99     0.00    0.00
   27    4   99     0.00    0.00
   28    4   99     0.00    0.00
   29    4   99     0.00    0.00
   30    4   99     0.00    0.00
   31    4   99     0.00    0.00
   32    4   99     0.00    0.00
   33    4   99     0.00    0.00
   34    4    0   402.67    2.31
   35    4    0   405.27    2.04
   36    4    0   402.69    2.01
   37    4    0   401.37    2.22
   38    4    0   401.82    2.16
   39    4    0   399.46    2.12
   40    4    0   391.37    2.20
   41    4    0   400.97    2.16
   42    4    0   400.08    2.13
   43    4    0   401.31    2.10
   44    4    0   399.58    2.16
   45    4    0   401.44    2.23
   46    4    0   401.43    2.14
   47    4    0   402.44    2.13
   48    4    0   399.06    2.14
   49    4    0   401.68    2.22
   50    4    0   398.22    2.12
   51    4    0   400.11    2.04
   52    4    0   401.44    2.46
   53    4    0   399.40    2.29
   54    4    0   401.39    2.04
   55    4    0   401.29    2.07
   56    4    0   400.51    2.17
   57    4    0   397.97    2.09
   58    4    0   394.06    2.06
   59    4    0   400.51    2.12
   60    4    0   405.44    2.08
   61    4    0   405.60    2.10
   62    4    0   406.49    2.08
   63    4    0   399.57    2.06
   64    4    0   373.70    2.10
   65    4    0   399.94    2.16
   66    4    0   399.08    2.11
   67    4    0   401.07    2.12
   68    4    0   401.39    2.14
   69    4    0   398.59    2.11
   70    4    0   401.87    2.11
   71    4    0   396.95    2.17
   72    4    0   400.64    2.13
   73    4    0   397.51    2.15
   74    4    0   398.35    2.28
   75    4    0   397.12    2.37
   76    4    0   400.97    2.55
   77    4    0   397.85    2.56
   78    4    0   398.58    2.62
   79    4    0   400.26    2.18
