DIGFCONS   500  12     3    2015_03_08
*---  Made with calib-7 ( run 1587, 2015_02_23)
*---  This is the best calib run for the 2014 data
****  The third parameter on the first line (12) is the number of shapes
    2   10       0.511     0.449     0.219   -28.067    10.786    25.520
    2   11       0.534     0.439     0.199   -28.274    11.775    25.964
    2   12       0.558     0.428     0.178   -28.499    12.792    26.432
    2   13       0.583     0.415     0.156   -28.743    13.837    26.922
    2   14       0.609     0.402     0.134   -29.004    14.915    27.434
    2   15       0.635     0.387     0.111   -29.283    16.027    27.969
    2   16       0.662     0.370     0.087   -29.579    17.175    28.525
    2   17       0.690     0.352     0.063   -29.892    18.362    29.103
    2   18       0.719     0.332     0.037   -30.222    19.591    29.704
    2   19       0.749     0.311     0.011   -30.568    20.863    30.326
    2   20       0.780     0.288    -0.016   -30.930    22.181    30.972
    2   21       0.811     0.263    -0.044   -31.308    23.546    31.641
    2   22       0.844     0.235    -0.074   -31.701    24.961    32.334
    2   23       0.878     0.206    -0.104   -32.109    26.428    33.052
    2   24       0.913     0.174    -0.136   -32.532    27.949    33.798
    2   25       0.950     0.140    -0.168   -32.969    29.526    34.571
    3  -25      -0.219     0.161     0.919   -25.944   -24.975    20.629
    3  -24      -0.196     0.194     0.894   -26.037   -23.749    20.790
    3  -23      -0.174     0.224     0.868   -26.144   -22.529    20.931
    3  -22      -0.151     0.253     0.843   -26.261   -21.314    21.054
    3  -21      -0.130     0.279     0.818   -26.382   -20.105    21.159
    3  -20      -0.108     0.304     0.794   -26.503   -18.902    21.247
    3  -19      -0.086     0.327     0.770   -26.621   -17.708    21.319
    3  -18      -0.065     0.348     0.747   -26.731   -16.523    21.376
    3  -17      -0.044     0.367     0.724   -26.832   -15.349    21.421
    3  -16      -0.023     0.385     0.702   -26.921   -14.189    21.456
    3  -15      -0.002     0.401     0.680   -26.997   -13.043    21.482
    3  -14       0.019     0.416     0.659   -27.059   -11.915    21.502
    3  -13       0.040     0.429     0.638   -27.107   -10.806    21.519
    3  -12       0.061     0.441     0.617   -27.142    -9.717    21.535
    3  -11       0.081     0.452     0.597   -27.165    -8.649    21.553
    3  -10       0.102     0.461     0.578   -27.178    -7.603    21.577
    3   -9       0.122     0.469     0.559   -27.183    -6.579    21.608
    3   -8       0.142     0.476     0.540   -27.181    -5.578    21.648
    3   -7       0.162     0.482     0.522   -27.175    -4.597    21.702
    3   -6       0.181     0.486     0.504   -27.167    -3.637    21.769
    3   -5       0.201     0.490     0.486   -27.160    -2.695    21.853
    3   -4       0.221     0.493     0.469   -27.157    -1.771    21.955
    3   -3       0.240     0.495     0.452   -27.159    -0.861    22.076
    3   -2       0.260     0.497     0.435   -27.168     0.035    22.219
    3   -1       0.279     0.497     0.418   -27.187     0.922    22.383
    3    0       0.299     0.497     0.401   -27.218     1.802    22.570
