452  -184.984  -297.127  69970.5
453  -168.655  -307.187  69970.5
454  -151.717  -316.185  69970.5
455  -134.241  -324.086  69970.5
456  -116.296  -330.857  69970.5
457  -97.957   -336.471  69970.5
458  -79.2972  -340.904  69970.5
459  -60.3927  -344.139  69970.5
461  -192.35   -290.935  69953.6
462  -176.4    -301.476  69953.6
463  -159.811  -310.98   69953.6
464  -142.65   -319.407  69953.6
465  -124.986  -326.724  69953.6
466  -106.893  -332.9    69953.6
467  -88.4424  -337.91   69953.6
468  -69.7101  -341.734  69953.6
472  -183.411  -294.747  69936.8
473  -167.236  -304.711  69936.8
474  -150.459  -313.624  69936.8
475  -133.149  -321.45   69936.8
476  -115.375  -328.157  69936.8
477  -97.2093  -333.717  69936.8
478  -78.7264  -338.108  69936.8
482  -173.911  -297.436  69920.1
487  -87.3454  -333.293  69920.1
515  132.06    -318.822  70037.9
522  88.0029   -336.06   70021.2
523  106.336   -331.082  70021.2
524  124.315   -324.945  70021.2
525  141.867   -317.675  70021.2
526  158.919   -309.301  70021.2
527  175.403   -299.858  70021.2
532  79.1067   -339.971  70004.4
533  97.7075   -335.552  70004.4
534  115.989   -329.956  70004.4
535  133.876   -323.206  70004.4
536  151.298   -315.331  70004.4
537  168.181   -306.361  70004.4
538  184.459   -296.333  70004.4
541  69.8707   -342.672  69987.5
542  88.6624   -338.836  69987.5
543  107.172   -333.81   69987.5
544  125.323   -327.615  69987.5
545  143.042   -320.275  69987.5
546  160.258   -311.821  69987.5
547  176.899   -302.287  69987.5
548  192.9     -291.712  69987.5
551  60.3927   -344.139  69970.5
552  79.2972   -340.904  69970.5
553  97.957    -336.471  69970.5
554  116.296   -330.857  69970.5
555  134.241   -324.086  69970.5
556  151.717   -316.185  69970.5
557  168.655   -307.187  69970.5
558  184.984   -297.127  69970.5
559  200.639   -286.047  69970.5
561  69.7101   -341.734  69953.6
562  88.4424   -337.91   69953.6
563  106.893   -332.9    69953.6
564  124.986   -326.724  69953.6
565  142.65    -319.407  69953.6
566  159.811   -310.98   69953.6
567  176.4     -301.476  69953.6
568  192.35    -290.935  69953.6
572  78.7264   -338.108  69936.8
573  97.2093   -333.717  69936.8
574  115.375   -328.157  69936.8
575  133.149   -321.45   69936.8
576  150.459   -313.624  69936.8
577  167.236   -304.711  69936.8
578  183.411   -294.747  69936.8
582  87.3454   -333.293  69920.1
587  173.911   -297.436  69920.1
615  318.822   -132.06   70037.9
622  299.858   -175.403  70021.2
623  309.301   -158.919  70021.2
624  317.675   -141.867  70021.2
625  324.945   -124.315  70021.2
626  331.082   -106.336  70021.2
627  336.06    -88.0029  70021.2
632  296.333   -184.459  70004.4
633  306.361   -168.181  70004.4
634  315.331   -151.298  70004.4
635  323.206   -133.876  70004.4
636  329.956   -115.989  70004.4
637  335.552   -97.7075  70004.4
638  339.971   -79.1067  70004.4
641  291.712   -192.9    69987.5
642  302.287   -176.899  69987.5
643  311.821   -160.258  69987.5
644  320.275   -143.042  69987.5
645  327.615   -125.323  69987.5
646  333.81    -107.172  69987.5
647  338.836   -88.6624  69987.5
648  342.672   -69.8707  69987.5
651  286.047   -200.639  69970.5
652  297.127   -184.984  69970.5
653  307.187   -168.655  69970.5
654  316.185   -151.717  69970.5
655  324.086   -134.241  69970.5
656  330.857   -116.296  69970.5
657  336.471   -97.957   69970.5
658  340.904   -79.2972  69970.5
659  344.139   -60.3927  69970.5
661  290.935   -192.35   69953.6
662  301.476   -176.4    69953.6
663  310.98    -159.811  69953.6
664  319.407   -142.65   69953.6
665  326.724   -124.986  69953.6
666  332.9     -106.893  69953.6
667  337.91    -88.4424  69953.6
668  341.734   -69.7101  69953.6
672  294.747   -183.411  69936.8
673  304.711   -167.236  69936.8
674  313.624   -150.459  69936.8
675  321.45    -133.149  69936.8
676  328.157   -115.375  69936.8
677  333.717   -97.2093  69936.8
678  338.108   -78.7264  69936.8
682  297.436   -173.911  69920.1
687  333.293   -87.3454  69920.1
