HB9050 1.032
HB9029 0.984
HB9041 1.032
HB9090 0.953
HB9099 1.023
HB9103 1.057
HB9104 1.063
HB9105 1.069
HB9113 0.982
HB9197 0.881
HB8825 0.951
HB8926 0.970
HB9001 0.984
HB8736 1.017
HB8681 1.013
HB9076 1.062
HB9180 0.787
HB9188 0.902
HB9190 1.035
HB9191 0.861
HB9193 0.836
HB9195 0.778
HB9196 0.880
HB9198 1.055
HB9201 0.989
HB9206 0.841
HB9207 0.834
HB8826 1.011
HB8828 0.856
HB8943 0.988
HB8989 1.093
HB8995 1.070
HB9010 1.024
HB9030 0.985
HB9044 1.087
HB9049 1.028
HB9060 1.046
HB9055 1.037
HB8988 1.053
HB8723 0.976
HB8660 1.021
HB9068 1.074
HB9073 1.055
HB9078 0.920
HB9114 0.988
HB9062 1.026
HB9045 1.049
HB9047 0.791
HB9048 1.043
HB8743 1.002
HB8718 0.934
HB8719 0.887
HB9181 0.679
HB9182 0.731
HB9183 0.683
HB9185 0.716
HB8690 0.993
HB8691 1.044
HB8692 1.004
HB8978 1.010
HB8980 1.031
HB8852 1.011
HB8901 1.036
HB9096 0.993
HB9116 1.017
HB9199 1.081
HB9120 1.047
HB9121 0.923
HB9123 1.080
HB8694 1.003
HB8997 1.010
HB8999 0.974
HB9006 1.034
HB9118 1.017
HB9143 0.987
HB9133 1.022
HB9148 1.038
HB9155 0.968
HB9164 0.984
HB9166 0.994
HB9169 0.987
HB9174 0.955
HB9202 0.884
HB9203 0.985
HB9210 0.878
HB9007 1.009
HB9008 0.951
HB9009 0.949
HB8669 1.063
HB9023 1.025
HB9025 1.029
HB9036 0.987
HB8672 1.067
HB8673 1.068
HB8675 1.011
HB9017 1.072
HB8679 0.976
HB8769 1.017
HB8979 1.044
HB9037 0.976
HC0827 1.004
HC0830 1.006
HC0834 1.015
HC0836 1.033
HC0838 0.988
HC0839 1.004
HC0841 1.008
HC0842 0.993
HC0843 1.004
HC0844 0.989
HC0845 0.998
HC0846 0.998
HC0847 0.999
HC0848 1.031
HC0850 1.087
HC0851 1.088
HC0852 1.061
HC0853 1.104
HC0854 1.081
HC0855 1.062
HC0856 1.091
HC0857 1.126
HC0858 1.104
HC0859 1.093
HC0860 1.078
HC0862 1.058
HC0865 1.079
HC0869 1.060
HC0870 1.038
HC0872 1.104
HC0873 1.093
HC0874 1.104
HC0875 1.088
HC0876 1.126
HC0878 1.104
HC0879 1.104
HC0884 1.031
HC0885 1.015
BAC7007 0.972
BAC9656 1.004
BAC9660 1.035
BAC9661 1.027
BAC9664 1.051
BAC9666 1.035
BAC9667 1.043
BAC9668 1.043
BAC9671 1.035
BAC9673 1.035
BAC9675 1.019
BAC9678 1.019
BAC9688 1.004
BAC9689 0.996
BAC9690 1.019
BAC9691 1.027
BAC9692 1.019
BAC9693 1.027
BAC9699 0.957
BAC9732 0.988
BAC9733 0.980
BAC9747 0.980
BAC9748 0.964
BAC9749 0.957
BAC9750 0.972
BAC9829 0.996
