# Slewing corrections obtained with run 10765
#-----------------------------------------------------------------------------------
#SeqID 	p0       	p1			p2	     
#-----------------------------------------------------------------------------------
0     -5.09e-2	   26.73      0.7008
1     0    0      0
2     -4.852e-2    12.33      1.365
3     0    0      0
4     -5.09e-2	   26.73      0.7008
5     0    0      0
6     -4.852e-2    12.33      1.365
7     0    0      0
8     -5.09e-2	   26.73      0.7008
9     0    0      0
10     -4.852e-2    12.33      1.365
11     0    0      0
12     -5.09e-2	   26.73      0.7008
13     0    0      0
14     -4.852e-2    12.33      1.365
15     0    0      0
16     -5.09e-2	   26.73      0.7008
17     0    0      0
18     -4.852e-2    12.33      1.365
19     0    0      0
20     -5.09e-2	   26.73      0.7008
21     0    0      0
22     -4.852e-2    12.33      1.365
23     0    0      0
24     -5.09e-2	   26.73      0.7008
25     0    0      0
26     -4.852e-2    12.33      1.365
27     0    0      0
28     -5.09e-2	   26.73      0.7008
29     0    0      0
30     -4.852e-2    12.33      1.365
31     0    0      0
32     -5.09e-2	   26.73      0.7008
33     0    0      0
34     -4.852e-2    12.33      1.365
35     0    0      0
36     -5.09e-2	   26.73      0.7008
37     0    0      0
38     -4.852e-2    12.33      1.365
39     0    0      0
40     -5.09e-2	   26.73      0.7008
41     0    0      0
42     -4.852e-2    12.33      1.365
43     0    0      0
44     -5.09e-2	   26.73      0.7008
45     0    0      0
46     -4.852e-2    12.33      1.365
47     0    0      0
48     -5.09e-2	   26.73      0.7008
49     0    0      0
50     -4.852e-2    12.33      1.365
51     0    0      0
52     -5.09e-2	   26.73      0.7008
53     0    0      0
54     -4.852e-2    12.33      1.365
55     0    0      0
56     -5.09e-2	   26.73      0.7008
57     0    0      0
58     -4.852e-2    12.33      1.365
59     0    0      0
60     -5.09e-2	   26.73      0.7008
61     0    0      0
62     -4.852e-2    12.33      1.365
63     0    0      0
64     -5.09e-2	   26.73      0.7008
65     0    0      0
66     -4.852e-2    12.33      1.365
67     0    0      0
68     -5.09e-2	   26.73      0.7008
69     0    0      0
70     -4.852e-2    12.33      1.365
71     0    0      0
72     -5.09e-2	   26.73      0.7008
73     0    0      0
74     -4.852e-2    12.33      1.365
75     0    0      0
76     -5.09e-2	   26.73      0.7008
77     0    0      0
78     -4.852e-2    12.33      1.365
79     0    0      0
80     -5.09e-2	   26.73      0.7008
81     0    0      0
82     -4.852e-2    12.33      1.365
83     0    0      0
84     -5.09e-2	   26.73      0.7008
85     0    0      0
86     -4.852e-2    12.33      1.365
87     0    0      0
88     -5.09e-2	   26.73      0.7008
89     0    0      0
90     -4.852e-2    12.33      1.365
91     0    0      0
92     -5.09e-2	   26.73      0.7008
93     0    0      0
94     -4.852e-2    12.33      1.365
95     0    0      0
96     0    0      0
97     0    0      0
98     0    0      0
99     0    0      0
100     0    0      0
101     0    0      0
102     0    0      0
103     0    0      0
104     0    0      0
105     0    0      0
106     0    0      0
107     0    0      0
108     0    0      0
109     0    0      0
110     0    0      0
111     0    0      0
112     0    0      0
113     0    0      0
114     0    0      0
115     0    0      0
116     0    0      0
117     0    0      0
118     0    0      0
119     0    0      0
120     0    0      0
121     0    0      0
122     0    0      0
123     0    0      0
124     0    0      0
125     0    0      0
