# Slewing corrections obtained with run 4740
#-----------------------------------------------------------------------------------
#SeqID 	p0       	p1			p2	     
#-----------------------------------------------------------------------------------
166    -8.52e-2	   22.2      1.091
167    -8.284e-2    12.92      2.071
168    -8.52e-2	   22.2      1.091 
169    -8.284e-2    12.92      2.071	
170    -8.52e-2	   22.2      1.091
171    -8.284e-2    12.92      2.071
172    -8.52e-2	   22.2      1.091
173    -8.284e-2    12.92      2.071
174    -8.52e-2	   22.2      1.091
175    -8.284e-2    12.92      2.071
176    -8.52e-2	   22.2      1.091  
177    -8.284e-2    12.92      2.071	
178    -8.52e-2	   22.2      1.091
179    -8.284e-2    12.92      2.071
180    -8.52e-2	   22.2      1.091
181    -8.284e-2    12.92      2.071
182    -8.52e-2	   22.2      1.091
183    -8.284e-2    12.92      2.071
184    -8.52e-2	   22.2      1.091 
185    -8.284e-2    12.92      2.071	
186    -8.52e-2	   22.2      1.091
187    -8.284e-2    12.92      2.071
188    -8.52e-2	   22.2      1.091
189    -8.284e-2    12.92      2.071
190    -8.52e-2	   22.2      1.091
191    -8.284e-2    12.92      2.071
192    -8.52e-2	   22.2      1.091 
193    -8.284e-2    12.92      2.071	
194    -8.52e-2	   22.2      1.091
195    -8.284e-2    12.92      2.071
196    -8.52e-2	   22.2      1.091
197    -8.284e-2    12.92      2.071
198    -8.52e-2	   22.2      1.091
199    -8.284e-2    12.92      2.071
200    -8.52e-2	   22.2      1.091 
201    -8.284e-2    12.92      2.071	
202    -8.52e-2	   22.2      1.091
203    -8.284e-2    12.92      2.071
204    -8.52e-2	   22.2      1.091
205    -8.284e-2    12.92      2.071
206    -8.52e-2	   22.2      1.091
207    -8.284e-2    12.92      2.071
208    -8.52e-2	   22.2      1.091 
209    -8.284e-2    12.92      2.071	
210    -8.52e-2	   22.2      1.091
211    -8.284e-2    12.92      2.071
212    -8.52e-2	   22.2      1.091
213    -8.284e-2    12.92      2.071
214    -8.52e-2	   22.2      1.091
215    -8.284e-2    12.92      2.071
216    -8.52e-2	   22.2      1.091 
217    -8.284e-2    12.92      2.071	
218    -8.52e-2	   22.2      1.091
219    -8.284e-2    12.92      2.071
220    -8.52e-2	   22.2      1.091
221    -8.284e-2    12.92      2.071
222    -8.52e-2	   22.2      1.091
223    -8.284e-2    12.92      2.071
224    -8.52e-2	   22.2      1.091 
225    -8.284e-2    12.92      2.071	
226    -8.52e-2	   22.2      1.091
227    -8.284e-2    12.92      2.071
228    -8.52e-2	   22.2      1.091
229    -8.284e-2    12.92      2.071
230    -8.52e-2	   22.2      1.091
231    -8.284e-2    12.92      2.071
232    -8.52e-2	   22.2      1.091 
233    -8.284e-2    12.92      2.071	
234    -8.52e-2	   22.2      1.091
235    -8.284e-2    12.92      2.071
236    -8.52e-2	   22.2      1.091
237    -8.284e-2    12.92      2.071
238    -8.52e-2	   22.2      1.091
239    -8.284e-2    12.92      2.071
240    -8.52e-2	   22.2      1.091 
241    -8.284e-2    12.92      2.071	
242    -8.52e-2	   22.2      1.091
243    -8.284e-2    12.92      2.071
244    -8.52e-2	   22.2      1.091
245    -8.284e-2    12.92      2.071
246    -8.52e-2	   22.2      1.091
247    -8.284e-2    12.92      2.071
248    -8.52e-2	   22.2      1.091 
249    -8.284e-2    12.92      2.071	
250    -8.52e-2	   22.2      1.091
251    -8.284e-2    12.92      2.071
252    -8.52e-2	   22.2      1.091
253    -8.284e-2    12.92      2.071
254    -8.52e-2	   22.2      1.091
255    -8.284e-2    12.92      2.071
256    -8.52e-2	   22.2      1.091  
257    -8.284e-2    12.92      2.071	
258    -8.52e-2	   22.2      1.091
259    -8.284e-2    12.92      2.071
260    -8.52e-2	   22.2      1.091
261    -8.284e-2    12.92      2.071
262    -8.52e-2	   22.2      1.091
263    -8.284e-2    12.92      2.071
264    -8.52e-2	   22.2      1.091 
265    -8.284e-2    12.92      2.071	
266    -8.52e-2	   22.2      1.091
267    -8.284e-2    12.92      2.071
268    -8.52e-2	   22.2      1.091
269    -8.284e-2    12.92      2.071
270    -8.52e-2	   22.2      1.091
271    -8.284e-2    12.92      2.071
272    -8.52e-2	   22.2      1.091  
273    -8.284e-2    12.92      2.071	
274    -8.52e-2	   22.2      1.091
275    -8.284e-2    12.92      2.071
276    -8.52e-2	   22.2      1.091
277    -8.284e-2    12.92      2.071
278    -8.52e-2	   22.2      1.091
279    -8.284e-2    12.92      2.071
280    -8.52e-2	   22.2      1.091 
281    -8.284e-2    12.92      2.071	
282    -8.52e-2	   22.2      1.091
283    -8.284e-2    12.92      2.071
284    -8.52e-2	   22.2      1.091
285    -8.284e-2    12.92      2.071
286    -8.52e-2	   22.2      1.091
287    -8.284e-2    12.92      2.071
288    -8.52e-2	   22.2      1.091  
289    -8.284e-2    12.92      2.071	
290    -8.52e-2	   22.2      1.091
291    -8.284e-2    12.92      2.071
292    -8.52e-2	   22.2      1.091
293    -8.284e-2    12.92      2.071
294    -8.52e-2	   22.2      1.091
295    -8.284e-2    12.92      2.071
296    -8.52e-2	   22.2      1.091 
297    -8.284e-2    12.92      2.071	
298    -8.52e-2	   22.2      1.091
299    -8.284e-2    12.92      2.071
300    -8.52e-2	   22.2      1.091
301    -8.284e-2    12.92      2.071
302    -8.52e-2	   22.2      1.091
303    -8.284e-2    12.92      2.071
304    -8.52e-2	   22.2      1.091  
305    -8.284e-2    12.92      2.071	
306    -8.52e-2	   22.2      1.091
307    -8.284e-2    12.92      2.071
308    -8.52e-2	   22.2      1.091
309    -8.284e-2    12.92      2.071
310    -8.52e-2	   22.2      1.091
311    -8.284e-2    12.92      2.071
312    -8.52e-2	   22.2      1.091 
313    -8.284e-2    12.92      2.071	
314    -8.52e-2	   22.2      1.091
315    -8.284e-2    12.92      2.071
316    -8.52e-2	   22.2      1.091
317    -8.284e-2    12.92      2.071
318    -8.52e-2	   22.2      1.091
319    -8.284e-2    12.92      2.071
320    -8.52e-2	   22.2      1.091 
321    -8.284e-2    12.92      2.071	
322    -8.52e-2	   22.2      1.091
323    -8.284e-2    12.92      2.071
324    -8.52e-2	   22.2      1.091
325    -8.284e-2    12.92      2.071
326    -8.52e-2	   22.2      1.091
327    -8.284e-2    12.92      2.071
328    -8.52e-2	   22.2      1.091 
329    -8.284e-2    12.92      2.071	
330    -8.52e-2	   22.2      1.091
331    -8.284e-2    12.92      2.071
332    -8.52e-2	   22.2      1.091
333    -8.284e-2    12.92      2.071
334    -8.52e-2	   22.2      1.091
335    -8.284e-2    12.92      2.071
336    -8.52e-2	   22.2      1.091 
337    -8.284e-2    12.92      2.071	
338    -8.52e-2	   22.2      1.091
339    -8.284e-2    12.92      2.071
340    -8.52e-2	   22.2      1.091
341    -8.284e-2    12.92      2.071
342    -8.52e-2	   22.2      1.091
343    -8.284e-2    12.92      2.071
