  108265.703  74438.5781  76478.4062  78270.4922  79724.5859  80867.7031
  81543.8359  81954.8594  81945.2109  81443.0469  80623.0781  79284.9141
  77713.4062  75762.9375  73683.4766  71489.8672  69078.3516  66217.2188
  63342.2812  60229.5469  62976.5312  95390.0859  76557.2266  53667.2734
  55373.7109  56762.1953  58035.6406  58800.5391  59387.9062  59860.6797
  59754.5469  59372.6172  58662.3438  57615.7109  56475.8594  54917.1172
  53159.1719  51415.4766  49318.5  47148.6406  44850.6797  42523.625
  45267.6406  63110.8672  70095.1484  50925.1875  52376.3125  53791.8125
  54795.3984  55538.3281  56098.5312  56426.2812  56354.1406  55998.0391
  55366.8828  54380.0703  53405.7266  52085.375  50548.1562  48860.5703
  47021.1328  45049.5859  43015.9922  40976.6094  42549.4531  60322.6172
  74128.0469  53678.5547  55489.9375  56901.2812  57966.9141  58853.8281
  59421.1562  59700.3672  59658.2109  59269.3047  58499.5078  57560.4922
  56461.0156  55003.6562  53350.9531  51526.8047  49482.5234  47344.7266
  45223.8516  43020.  44882.7422  63260.3438  78275.5391  56515.7891
  58341.7188  59874.1875  61106.5156  62034.25  62666.5938  63007.4062
  62912.4062  62394.5078  61610.1641  60636.8594  59364.3047  57813.875
  56094.9688  54037.1797  51894.1875  49619.3828  47321.7188  45009.3594
  47141.8125  66185.4531  82146.9375  59268.4141  61050.7031  62708.6016
  64136.125  65191.5156  65834.8438  66168.5312  66010.4453  65606.1016
  64630.4219  63562.8594  62181.7969  60610.4375  58632.0625  56490.2578
  54221.3906  51737.7344  49393.7578  46979.8672  49302.1719  68818.5859
  85927.9375  61772.2578  63784.3281  65413.1328  66884.8906  68076.8438
  68696.8672  69080.875  68865.1953  68283.6172  67368.5  66369.8125  64810.625
  63222.3438  61129.2266  58836.7578  56486.8438  53907.2969  51341.4062
  48745.2344  51261.25  71365.9219  89161.2031  64199.8047  66291.8828
  67960.1719  69491.6016  70565.8438  71407.0391  71682.0938  71511.3906
  70863.9062  70048.2422  68900.9688  67340.5938  65687.  63456.1328
  61060.0547  58604.8984  55894.875  53219.2891  50381.1641  53133.7891
  73785.3047  92414.9531  66242.3047  68470.9453  70400.6328  71897.4766
  73124.9062  73857.1484  74197.3672  73949.1797  73470.4688  72464.3594
  71271.6641  69745.875  67839.0469  65643.3594  63229.0234  60546.6094
  57776.4688  54896.6328  51896.7109  54715.6875  75704.4531  95048.6797
  68241.7578  70523.8359  72435.4141  74203.8984  75394.0703  76180.4922
  76445.6016  76238.6797  75731.0234  74768.5547  73476.4062  71828.4531
  69734.2969  67469.1406  64943.9219  62265.2188  59487.0625  56418.8594
  53243.6328  56240.1406  77376.1562  97352.5781  69834.6406  72296.625
  74301.2734  76058.625  77309.2109  78186.9219  78455.  78362.5234  77737.6016
  76732.2344  75320.  73601.6875  71456.1719  69075.6797  66369.9609
  63601.6016  60772.8281  57599.0859  54384.8203  57529.1719  79041.1797
  99380.9766  71223.4219  73612.0781  75757.2969  77432.1172  78748.3125
  79683.7656  79912.3594  79855.6562  79409.6016  78199.3906  76813.875
  74826.7422  72637.5859  70260.9531  67595.4609  64760.3047  61748.2109
