#name zpos zmax prestepVol postStepVol
#
# MCB magnet exits are at different z compared to beatch file
# due to the extension of coils in z by 320mm that are not
# included in beatch
#
# z values evaluated on xx.03.2020 with revison
#
CedarEntry 69200.0 0.0 World CedarRespReg
#CedarQFS1Entry 76305.0 0.0 CedarRespReg CedarQuadMagnetField0
CedarQFS1Exit 77105.0 0.0 CedarQuadMagnetField0 CedarRespReg
#CedarQFS2Entry 78305.0 0.0 CedarRespReg CedarQuadMagnetField1
#CedarQFS2Exit 79105.0 0.0 CedarQuadMagnetField1 CedarRespReg
GTKEntry 79440.0 0.0 CedarRespReg GigaTracker
#GTK1Entry 79595.47 0.0 GigaTracker GigaTrackerStation1
#GTK1Exit 79605.47 0.0 GigaTrackerStation1 GigaTracker
#GTKBEND4AEntry 80160.0 0.0 GigaTracker GigaTrackerMCBMagnet_0
GTKBEND4AExit 83300.0 0.0 GigaTrackerMCBMagnet_0 GigaTracker
#GTKBEND4BEntry 83760.0 0.0 GigaTracker GigaTrackerMCBMagnet_1
GTKBEND4BExit 86900.0 0.0 GigaTrackerMCBMagnet_1 GigaTracker
#GTKScraperEntry 87310.0 0.0 GigaTracker GigaTrackerScraper
#GTKScraperExit 92310.0 0.0 GigaTrackerScraper GigaTracker
#GTK2Entry 92795.39 0.0 GigaTracker GigaTrackerStation2
#GTK2Exit 92805.39 0.0 GigaTrackerStation2 GigaTracker
#GTKBEND5Entry 93040.0 0.0 GigaTracker GigaTrackerMCBMagnet_2
GTKBEND5Exit 96180.0 0.0 GigaTrackerMCBMagnet_2 GigaTracker
#GTKBEND6Entry 96640.0 0.0 GigaTracker GigaTrackerMCBMagnet_3
GTKBEND6Exit 99780.0 0.0 GigaTrackerMCBMagnet_3 GigaTracker
#GTKFastValveEntry 99920.0 0.0 GigaTracker GigaTrackerFastValve
#GTKFastValveExit 100208.0 0.0 GigaTrackerFastValve GigaTracker
#GTKCollimatorEntry 100210.0 0.0 GigaTracker GigaTrackerCollimator_TCX
GTKCollimatorExit 101410.0 0.0 GigaTrackerCollimator_TCX GigaTracker
#GTKTRIM5Entry : should not be used for now, please use GTKCollimatorExit instead
GTKTRIM5Exit 102150.0 0.0 GigaTrackerMDXMagnet GigaTracker
#GTK3Entry 102395.39 0.0 GigaTracker GigaTrackerStation3
#GTK3Exit 102405.39 0.0 GigaTrackerStation3 GigaTracker
GTKExit 102420.0 0.0 GigaTracker CHANTI
CHANTIExit 104458.0 0.0 CHANTI LAV_RR0
#LAV1Entry 120595.0 0.0 LAV_RR0 LAV_Station_01
#LAV1Exit 122145.0 0.0 LAV_Station_01 LAV_RR0
#LAV2Entry 128205.0 0.0 LAV_RR0 LAV_Station_02
#LAV2Exit 129755.0 0.0 LAV_Station_02 LAV_RR0
#LAV3Entry 135815.0 0.0 LAV_RR0 LAV_Station_03
#LAV3Exit 137365.0 0.0 LAV_Station_03 LAV_RR0
#LAV4Entry 143425.0 0.0 LAV_RR0 LAV_Station_04
#LAV4Exit 144975.0 0.0 LAV_Station_04 LAV_RR0
#LAV5Entry 151035.0 0.0 LAV_RR0 LAV_Station_05
#LAV5Exit 152585.0 0.0 LAV_Station_05 LAV_RR0
#LAV6Entry 164545.0 0.0 LAV_RR0 LAV_Station_06
#LAV6Exit 166095.0 0.0 LAV_Station_06 LAV_RR0
