# NChannels including PMT+SC
NChannels= 18684 
# Number of SuperCells
NSCChannels= 2076
######################### RICH Reconstruction PMs indexed positions #######################
#PMPosition: NPMs (starting from 0, grouped by 8, x y couples)
# the position is relative to the relevant flange centre
PMPosition_SC_33 = 228.0 3.0 228.0 9.0 228.0 15.0 234.0 3.0 234.0 9.0 234.0 15.0 240.0 3.0 240.0 9.0
PMPosition_SC_34 = 240.0 15.0 246.0 3.0 246.0 9.0 246.0 15.0 252.0 3.0 252.0 9.0 252.0 15.0 258.0 3.0
PMPosition_SC_35 = 258.0 9.0 258.0 15.0 264.0 3.0 264.0 9.0 264.0 15.0 270.0 3.0 270.0 9.0 270.0 15.0
PMPosition_SC_36 = 276.0 3.0 276.0 9.0 276.0 15.0 282.0 3.0 282.0 9.0 282.0 15.0 288.0 3.0 288.0 9.0
PMPosition_SC_37 = 288.0 15.0 294.0 3.0 294.0 9.0 294.0 15.0 300.0 3.0 300.0 9.0 300.0 15.0 300.0 21.0
PMPosition_SC_38 = 300.0 27.0 300.0 33.0 294.0 21.0 294.0 27.0 294.0 33.0 288.0 21.0 288.0 27.0 288.0 33.0
PMPosition_SC_39 = 282.0 21.0 282.0 27.0 282.0 33.0 276.0 21.0 276.0 27.0 276.0 33.0 270.0 21.0 270.0 27.0
PMPosition_SC_40 = 270.0 33.0 264.0 21.0 264.0 27.0 264.0 33.0 258.0 21.0 258.0 27.0 258.0 33.0 252.0 21.0
PMPosition_SC_41 = 252.0 27.0 252.0 33.0 246.0 21.0 246.0 27.0 246.0 33.0 240.0 21.0 240.0 27.0 240.0 33.0
PMPosition_SC_42 = 234.0 21.0 234.0 27.0 234.0 33.0 228.0 21.0 228.0 27.0 228.0 33.0 222.0 21.0 222.0 27.0
PMPosition_SC_43 = 222.0 33.0 216.0 21.0 216.0 27.0 216.0 33.0 210.0 21.0 210.0 27.0 210.0 33.0 204.0 21.0
PMPosition_SC_44 = 204.0 27.0 204.0 33.0 198.0 21.0 198.0 27.0 198.0 33.0 192.0 21.0 192.0 27.0 192.0 33.0
PMPosition_SC_45 = 186.0 21.0 186.0 27.0 186.0 33.0 180.0 21.0 180.0 27.0 180.0 33.0 174.0 21.0 174.0 27.0
PMPosition_SC_46 = 174.0 33.0 168.0 21.0 168.0 27.0 168.0 33.0 162.0 21.0 162.0 27.0 162.0 33.0 156.0 21.0
