######################## RICH Reconstruction SCs indexed positions ########################
#SCPosition: NPMs (starting from 0, grouped by 2, x y couples)
SCPosition_SC_92 = -30.0 22.5 -24.0 22.5
SCPosition_SC_93 = -15.0 22.5 -6.0 22.5
SCPosition_SC_94 = 0.0 22.5 9.0 22.5
SCPosition_SC_95 = 18.0 22.5 24.0 22.5
SCPosition_SC_96 = 33.0 22.5 42.0 22.5
SCPosition_SC_97 = 48.0 22.5 57.0 22.5
SCPosition_SC_98 = 66.0 22.5 72.0 22.5
SCPosition_SC_99 = 81.0 22.5 90.0 22.5
SCPosition_SC_100 = 96.0 22.5 105.0 22.5
SCPosition_SC_101 = 114.0 22.5 120.0 22.5
SCPosition_SC_102 = 129.0 22.5 138.0 22.5
SCPosition_SC_103 = 144.0 22.5 153.0 22.5
SCPosition_SC_104 = 162.0 22.5 168.0 22.5
SCPosition_SC_105 = 177.0 22.5 186.0 22.5
SCPosition_SC_106 = 192.0 22.5 201.0 22.5
SCPosition_SC_107 = 210.0 22.5 216.0 22.5
SCPosition_SC_108 = 225.0 22.5 234.0 22.5
SCPosition_SC_109 = 240.0 22.5 249.0 22.5
SCPosition_SC_110 = 258.0 22.5 264.0 22.5
SCPosition_SC_111 = 273.0 22.5 282.0 22.5
SCPosition_SC_112 = 288.0 22.5 297.0 22.5
SCPosition_SC_113 = 297.0 31.5 291.0 31.5
SCPosition_SC_114 = 282.0 31.5 273.0 31.5
SCPosition_SC_115 = 267.0 31.5 258.0 31.5
SCPosition_SC_116 = 249.0 31.5 243.0 31.5
SCPosition_SC_117 = 234.0 31.5 225.0 31.5
SCPosition_SC_118 = 219.0 31.5 210.0 31.5
SCPosition_SC_119 = 201.0 31.5 195.0 31.5
SCPosition_SC_120 = 186.0 31.5 177.0 31.5
SCPosition_SC_121 = 171.0 31.5 162.0 31.5
SCPosition_SC_122 = 153.0 31.5 147.0 31.5
SCPosition_SC_123 = 138.0 31.5 129.0 31.5
SCPosition_SC_124 = 123.0 31.5 114.0 31.5
SCPosition_SC_125 = 105.0 31.5 99.0 31.5
SCPosition_SC_126 = 90.0 31.5 81.0 31.5
SCPosition_SC_127 = 75.0 31.5 66.0 31.5
SCPosition_SC_128 = 57.0 31.5 51.0 31.5
SCPosition_SC_129 = 42.0 31.5 33.0 31.5
SCPosition_SC_130 = 27.0 31.5 18.0 31.5
SCPosition_SC_131 = 9.0 31.5 3.0 31.5
SCPosition_SC_132 = -6.0 31.5 -15.0 31.5
SCPosition_SC_133 = -21.0 31.5 -30.0 31.5
