# generated with run 3532
#---------------------------------------------------------------------
#SeqID 	 MinWidth 	 MaxWidth 	 SC_MinWidth 	 SC_MaxWidth
#---------------------------------------------------------------------
101 	 9.93369 	 16.9337 	 0.926767 	 -0.417323
102 	 10.1162 	 17.1162 	 0.177528 	 0.450137
103 	 10.088 	 17.088 	 0.3386 	 0.113761
104 	 9.73113 	 16.7311 	 0.0627491 	 0.537183
105 	 10.6423 	 17.6423 	 0.286932 	 -0.0487783
106 	 11.3991 	 18.3991 	 0.277054 	 0.0577117
107 	 10.207 	 17.207 	 0.730584 	 -0.639303
108 	 10.7786 	 17.7786 	 0.285269 	 -0.109837
109 	 9.62068 	 16.6207 	 0.330082 	 -0.219568
110 	 10.6218 	 17.6218 	 0.190067 	 -0.0454672
111 	 10.0892 	 17.0892 	 0.0607942 	 0.282363
112 	 10.6546 	 17.6546 	 0.40986 	 -0.222038
113 	 10.8592 	 17.8592 	 0.145304 	 -0.0398267
114 	 11.054 	 18.054 	 0.413745 	 -0.324956
115 	 10.8324 	 17.8324 	 0.353674 	 -0.0481757
116 	 10.86 	 17.86 	 0.298468 	 0.0346322
117 	 10.8037 	 17.8037 	 0.391752 	 -0.245249
118 	 10.7129 	 17.7129 	 0.0529777 	 0.382757
119 	 10.8759 	 17.8759 	 0.294341 	 -0.0929277
120 	 10.4928 	 17.4928 	 0.338186 	 -0.184588
121 	 9.8442 	 16.8442 	 0.442171 	 -0.174167
122 	 9.94267 	 16.9427 	 0.49055 	 -0.424947
123 	 10.5754 	 17.5754 	 0.439555 	 -0.171533
124 	 10.1432 	 17.1432 	 0.418908 	 -0.277473
125 	 9.83486 	 16.8349 	 0.513673 	 -0.298401
126 	 9.77177 	 16.7718 	 0.442708 	 -0.391513
127 	 9.79909 	 16.7991 	 0.405925 	 -0.224368
128 	 10.9062 	 17.9062 	 0.356001 	 -0.237053
129 	 11.4911 	 18.4911 	 0.417527 	 -0.294388
130 	 11.5232 	 18.5232 	 0.380916 	 -0.21826
131 	 -3.5 	 3.5 	 0 	 0
132 	 11.5774 	 18.5774 	 0.377935 	 -0.214446
133 	 11.212 	 18.212 	 0.296785 	 -0.197043
134 	 11.3957 	 18.3957 	 0.347551 	 -0.154901
135 	 11.9852 	 18.9852 	 0.424169 	 -0.232483
136 	 10.935 	 17.935 	 0.310552 	 -0.224788
137 	 10.578 	 17.578 	 0.371032 	 -0.302078
138 	 10.7106 	 17.7106 	 0.357488 	 -0.167814
139 	 10.7729 	 17.7729 	 0.260139 	 -0.195177
140 	 10.67 	 17.67 	 0.376678 	 -0.268299
141 	 10.8008 	 17.8008 	 0.325506 	 -0.175511
142 	 10.8724 	 17.8724 	 0.278859 	 -0.235506
