-80   0   189393   164.0     36.7        50.6
-80 -50   189393   146.2     35.2        -3.1
-50 -80   189393   130.0     37.2        -30.4
  0 -80   189393   116.2     33.2        -32.6
 50 -80   189393   112.0     24.2        -28.6
 80 -50   189393   138.5     14.4        12.4
 80   0   189393   160.7     6.9         57.6
 80  50   189393   162.0     -8.3        112.9
 20  20   190393   357.7     25.0        133.6
  0  20   190393   360.7     37.5        132.6
-20  20   190393   365.2     44.0        135.6
-20  0    190393   359.5     40.5        81.6
-20 -20   190393   354.7     49.2        26.9
  0 -20   190393   355.0     44.2        27.6
 20 -20   190393   356.2     38.7        29.4
 20   0   190393   359.7     34.7        83.6
  0   0   190393   364.0     40.7        77.9
 50  50   190393   342.5     6.0         205.6
  0  50   190393   345.2     35.0        211.1
-50  50   190393   342.5     57.0        210.4
-50   0   190393   357.0     54.2        80.6
-50 -50   190393   329.5     41.7        -50.9
  0 -50   190393   334.5     50.2        -47.9
 50 -50   190393   319.0     44.5        -46.4
 50   0   190393   352.5     21.5        83.6
 50  80   190393   315.0     -4.3        272.9
  0  80   190393   320.2     33.7        288.4
-50  80   190393   318.0     65.7        278.6
-80  50   190393   330.0     75.5        200.4
-80   0   190393   351.0     61.5        78.6
-80 -50   190393   329.2     48.2        -45.1
-50 -80   190393   297.0     53.0        -125.6
  0 -80   190393   292.7     58.0        -129.1
 50 -80   190393   284.5     60.2        -126.4
 80 -50   190393   309.0     43.2        -44.1
 80   0   190393   339.0     8.7         79.6
 80  50   190393   329.2     -11.8       201.1
 20  20   190893   498.2     -11.1       169.9
  0  20   190893   503.7     5.9         179.2
-20  20   190893   504.2     19.7        174.4
-20  0    190893   504.0      21.7       101.2
-20 -20   190893   503.7     25.7        21.7
  0 -20   190893   502.4     13.7        22.9
 20 -20   190893   494.9     9.7         24.4
 20   0   190893   503.9     0.9         95.7
  0   0   190893   504.2     11.7        96.9
 50  50   190893   460.4     -59.9       265.9
  0  50   190893   474.7     -0.1        286.4
-50  50   190893   468.4     48.9        286.9
-50   0   190893   499.4     35.2        98.7
-50 -50   190893   480.2     28.4        -91.9
  0 -50   190893   481.2     33.2        -106.9
 50 -50   190893   450.9     33.4        -105.9
 50   0   190893   488.7     -7.4        76.2
 50  80   190893   430.4     -58.9       359.2
  0  80   190893   436.2     8.2         382.4
-50  80   190893   436.2     55.2        371.9
-80  50   190893   465.2     70.9        263.9
-80   0   190893   500.7     55.2        21.2
-80 -50   190893   478.4     26.2        -71.4
-50 -80   190893   447.9     26.4        -222.4
  0 -80   190893   447.4     46.2        -187.6
 50 -80   190893   416.4     62.2        -183.1
 80 -50   190893   425.4     11.4        -77.4
 80   0   190893   457.2     -38.1       81.9
 80  50   190893   444.4     -79.1       258.9
 20  20   191243   658.2     -24.3       266.8
  0  20   191243   666.4     -4.1        273.3
-20  20   191243   665.4     13.0        271.1
-20  0    191243   676.7     21.0        162.1
-20 -20   191243   694.4     28.0        8.3
  0 -20   191243   697.9     20.0        68.3
 20 -20   191243   687.4     7.7         64.8
 20   0   191243   688.9     -5.1        167.3
  0   0   191243   697.4     15.0        166.1
 50  50   191243   622.4     -79.1       409.3
  0  50   191243   637.4     2.2         -45.5
-50  50   191243   620.9     62.5        421.6
-50   0   191243   686.9     46.7        165.3
-50 -50   191243   670.4     31.2        -99.7
  0 -50   191243   672.9     35.7        -94.7
 50 -50   191243   629.2     33.2        -91.5
 50   0   191243   666.4     -24.1       155.6
 50  80   191243   555.2     -90.6       537.6
  0  80   191243   533.7     -3.1        556.8
-50  80   191243   546.4     70.7        554.8
-80  50   191243   600.2     97.2        402.8
-80   0   191243   668.2     65.2        150.8
-80 -50   191243   649.2     28.5        -99.2
-50 -80   191243   624.9     29.5        -252.0
  0 -80   191243   620.2     48.2        -252.2
 50 -80   191243   594.2     70.2        -230.5
 80 -50   191243   584.4     19.7        -87.7
 80   0   191243   636.4     -67.6       142.8
 80  50   191243   607.4     -123.6      379.1
 20  20   191543   859.3     -30.9       327.6
  0  20   191543   871.1     4.1         330.6
-20  20   191543   865.6     29.4        333.8
-20  0    191543   882.3     34.9        183.8
-20 -20   191543   882.1     30.9        48.1
  0 -20   191543   874.6     21.9        48.8
 20 -20   191543   864.8     9.9         49.8
 20   0   191543   874.3     -7.4        185.8
  0   0   191543   884.8     11.6        179.8
 50  50   191543   780.1     -105.4      231.8
  0  50   191543   798.8     -1.9        537.8
-50  50   191543   783.1     78.1        524.1
-50   0   191543   868.6     55.6        177.8
-50 -50   191543   832.6     35.9        -170.2
  0 -50   191543   837.8     43.4        -159.7
 50 -50   191543   783.1     45.1        -141.5
 50   0   191543   841.8     -45.9       180.8
 50  80   191543   682.8     -121.9      691.1
  0  80   191543   692.3     0.3         716.6
-50  80   191543   680.3     88.4        699.3
-80  50   191543   755.3     131.1       493.6
-80   0   191543   847.6     71.6        170.3
-80 -50   191543   806.6     26.1        -174.0
-50 -80   191543   758.1     24.4        -355.7
  0 -80   191543   762.1     57.6        -347.5
 50 -80   191543   709.8     86.4        -316.0
 80 -50   191543   720.3     29.1        -138.2
 80   0   191543   801.8     -78.2       163.1
 80  50   191543   765.6     -175.7      486.1
 20  20   191843   1104.8    5.1         313.5
  0  20   191843   1103.8    27.9        313.5
-20  20   191843   1094.1    46.9        302.2
-20  0    191843   1104.6    48.1        123.2
-20 -20   191843   1097.6    37.1        -59.3
  0 -20   191843   1092.6    29.6        -53.1
 20 -20   191843   1098.3    31.1        -50.3
 20   0   191843   1111.6    22.6        129.2
  0   0   191843   1115.3    35.9        128.7
 50  50   191843   1007.8    -62.4       580.5
  0  50   191843   1020.8    29.6        592.7
-50  50   191843   979.3     114.9       562.2
-50   0   191843   1072.8    60.4        128.0
-50 -50   191843   993.1     10.9        -294.6
  0 -50   191843   1024.6    44.6        -309.8
 50 -50   191843   997.1     80.4        -292.1
 50   0   191843   1084.6    -0.4        131.7
 50  80   191843   875.8     -92.7       809.2
  0  80   191843   882.1     42.1        824.0
-50  80   191843   868.8     142.4       779.5
-80  50   191843   949.1     167.6       526.0
-80   0   191843   1029.3    80.6        114.5
-80 -50   191843   951.8     -3.4        -293.6
-50 -80   191843   882.8     -18.7       -518.1
  0 -80   191843   924.6     47.6        -535.6
 50 -80   191843   887.8     117.1       -506.1
 80 -50   191843   960.3     83.6        -278.6
 80   0   191843   1048.3    -16.7       142.2
 80  50   191843   968.6     -110.4      566.7
 20  20   192143   1477.8    -3.7        414.3   
  0  20   192143   1486.0    29.6        415.1
-20  20   192143   1482.5    56.4        402.1
-20  0    192143   1497.8    54.4        143.8
-20 -20   192143   1473.8    46.9        -120.0
  0 -20   192143   1481.8    48.4        -110.5
 20 -20   192143   1474.8    41.9        -105.0
 20   0   192143   1498.8    27.9        153.1
  0   0   192143   1506.3    37.4        142.1
 50  50   192143   1326.3    -98.7       779.1
  0  50   192143   1361.3    28.4        811.6
-50  50   192143   1318.0    138.1       774.3
-50   0   192143   1460.0    72.9        136.3
-50 -50   192143   1320.5    9.1         -471.2
  0 -50   192143   1363.8    58.4        -480.5
 50 -50   192143   1313.8    112.6       -458.0
 50   0   192143   1454.5    3.1         145.3
 50  80   192143   1133.5    -152.2      1085.6
  0  80   192143   1161.0    28.1        1132.6
-50  80   192143   1139.8    178.9       1077.3
-80  50   192143   1274.0    193.6       716.8
-80   0   192143   1396.3    86.6        127.6
-80 -50   192143   1267.5    -23.4       -451.2
-50 -80   192143   1142.8    -18.2       -752.7
  0 -80   192143   1183.8    69.4        -402.7
 50 -80   192143   1133.3    177.9       -720.0
 80 -50   192143   1263.3    133.4       -418.5
 80   0   192143   1399.8    -14.9       155.3
 80  50   192143   1274.5    -157.7      747.3
 20  20   192443   1963.2    -10.7       521.9    
  0  20   192443   1972.4    29.6        528.6
-20  20   192443   1965.9    68.9        507.4
-20  0    192443   1966.9    58.1        142.1
-20 -20   192443   1915.9    48.1        -234.2
  0 -20   192443   1927.9    50.9        -212.9
 20 -20   192443   1919.4    48.4        -210.9
 20   0   192443   1982.2    31.6        151.9
  0   0   192443   1984.4    40.1        149.4
 50  50   192443   1759.7    -135.7      1037.6
  0  50   192443   1814.9    26.6        1079.9
-50  50   192443   1748.9    202.4       1023.4
-50   0   192443   1918.2    77.9        116.9
-50 -50   192443   1658.2    -9.2        -705.9
  0 -50   192443   1715.2    66.6        -723.2
 50 -50   192443   1655.9    133.1       -686.9
 50   0   192443   1920.9    -5.7        149.6
 50  80   192443   1498.7    -198.7      1469.9
  0  80   192443   1530.9    36.6        1522.1
-50  80   192443   1502.4    227.1       1447.6
-80  50   192443   1685.4    251.6       955.6
-80   0   192443   1833.9    103.9       107.6
-80 -50   192443   1586.7    -52.9       -686.4
-50 -80   192443   1336.2    -36.9       -1087.9
  0 -80   192443   1383.2    94.6        -1091.9
 50 -80   192443   1318.2    211.9       -1031.7
 80 -50   192443   1589.9    160.1       -626.7
 80   0   192443   1828.2    -33.9       145.6
 80  50   192443   1677.7    -212.9      987.4
 20  20   192743   2637.3    -24.5       683.0
  0  20   192743   2647.3    22.3        691.0
-20  20   192743   2645.1    85.0        665.5
-20  0    192743   2654.3    64.3        133.7
-20 -20   192743   2565.6    60.3        -398.8
  0 -20   192743   2585.6    61.3        -374.6
 20 -20   192743   2564.6    63.5        -369.6
 20   0   192743   2637.1    29.5        145.5
  0   0   192743   2667.1    49.0        140.0
 50  50   192743   2319.1    -214.5      1399.5
  0  50   192743   2416.3    17.8        1470.7
-50  50   192743   2302.1    278.5       1379.7
-50   0   192743   2542.6    107.8       131.5
-50 -50   192743   2156.8    -46.8       -1065.8
  0 -50   192743   2247.1    94.0        -1114.8
 50 -50   192743   2153.1    208.5       -1047.6
 50   0   192743   2566.3    -4.0        142.0
 50  80   192743   1926.1    -308.5      1991.7
  0  80   192743   1999.8    25.5        2095.0
-50  80   192743   1965.8    300.0       1995.0
-80  50   192743   2237.1    347.3       1301.5
-80   0   192743   2467.1    122.8       102.5
-80 -50   192743   2084.8    -86.3       -1036.1
-50 -80   192743   1680.1    -55.3       -1623.1
  0 -80   192743   1724.3    133.3       -1648.6
 50 -80   192743   1641.3    320.3       -1556.3
 80 -50   192743   2059.8    259.8       -964.1
 80   0   192743   2434.1    -26.0       157.0
 80  50   192743   2212.6    -305.8      1325.2
 20  20   193043   3719.5    -28.1       954.0
  0  20   193043   3731.0    42.4        948.5
-20  20   193043   3715.7    112.4       913.0
-20  0    193043   3743.5    90.9        118.7
-20 -20   193043   3614.0    68.2        -696.8
  0 -20   193043   3647.0    76.7        -665.3
 20 -20   193043   3627.0    98.2        -664.1
 20   0   193043   3759.5    44.9        132.7
  0   0   193043   3775.0    64.9        123.7
 50  50   193043   3230.2    -298.6      2035.5
  0  50   193043   3346.2    41.7        2120.5
-50  50   193043   3207.0    367.7       1994.2
-50   0   193043   3611.5    119.7       111.2
-50 -50   193043   2988.7    -93.1       -1717.6
  0 -50   193043   3110.5    103.7       -1799.6
 50 -50   193043   2996.7    311.9       -1702.1
 50   0   193043   3641.7    -1.9        133.0
 50  80   193043   2591.2    -435.6      2882.2
  0  80   193043   2677.2    82.2        3012.5
-50  80   193043   2612.7    471.2       2832.5
-80  50   193043   3052.0    508.2       1829.5
-80   0   193043   3408.2    153.2       72.0
-80 -50   193043   2818.2    -197.6      -1609.3
-50 -80   193043   2184.2    -161.1      -2521.3
  0 -80   193043   2266.2    157.7       -2616.6
 50 -80   193043   2187.5    461.2       -2472.3
 80 -50   193043   2865.2    391.4       -1564.3
 80   0   193043   3464.5    -28.9       158.2
 80  50   193043   3074.5    -443.1      1923.0
 20  20   193343   5063.7    -58.7       1282.1
  0  20   193343   5082.5    37.8        1289.6
-20  20   193343   5064.5    141.1       1238.8
-20  0    193343   5115.7    104.3       76.1
-20 -20   193343   4925.0    73.6        -1103.5
  0 -20   193343   4964.2    103.8       -1061.7
 20 -20   193343   4936.7    138.6       -1050.7
 20   0   193343   5134.5    56.6        101.1
  0   0   193343   5158.0    85.8        91.1
 50  50   193343   4304.7    -459.5      2811.8
  0  50   193343   4500.2    34.1        2962.3
-50  50   193343   4226.7    578.1       2714.6
-50   0   193343   4827.7    152.8       65.3
-50 -50   193343   3929.0    -232.5      -2516.7
  0 -50   193343   4155.2    149.3       -2735.5
 50 -50   193343   4009.7    488.8       -2505.2
 50   0   193343   4934.7    6.6         113.6
 50  80   193343   3339.7    -651.7      3982.3
  0  80   193343   3483.2    59.6        4201.6
-50  80   193343   3410.0    644.1       3959.8
-80  50   193343   4085.7    709.1       2541.6
-80   0   193343   4637.7    184.6       44.3
-80 -50   193343   3754.0    -321.5      -2415.2
-50 -80   193343   2816.5    -259.2      -3715.2
  0 -80   193343   2949.0    223.1       -3870.7
 50 -80   193343   2823.5    715.1       -3615.5
 80 -50   193343   3795.5    607.8       -2304.5
 80   0   193343   4659.2    -29.2       135.6
 80  50   193343   4065.5    -655.2      2633.8
 20  20   193343   5063.7    -58.7       -1282.1 
  0  20   193343   5082.5    37.8        -1289.6
-20  20   193343   5064.5    141.1       -1238.8
-20  0    193343   5115.7    104.3       -76.1
-20 -20   193343   4925.0    73.6        1103.5
  0 -20   193343   4964.2    103.8       1061.7
 20 -20   193343   4936.7    138.6       1050.7
 20   0   193343   5134.5    56.6        -101.1
  0   0   193343   5158.0    85.8        -91.1
 50  50   193343   4304.7    -459.5      -2811.8
  0  50   193343   4500.2    34.1        -2962.3
-50  50   193343   4226.7    578.1       -2714.6
-50   0   193343   4827.7    152.8       -65.3
-50 -50   193343   3929.0    -232.5      2516.7
  0 -50   193343   4155.2    149.3       2735.5
 50 -50   193343   4009.7    488.8       2505.2
 50   0   193343   4934.7    6.6         -113.6
 50  80   193343   3339.7    -651.7      -3982.3
  0  80   193343   3483.2    59.6        -4201.6
-50  80   193343   3410.0    644.1       -3959.8
-80  50   193343   4085.7    709.1       -2541.6
-80   0   193343   4637.7    184.6       -44.3
-80 -50   193343   3754.0    -321.5      2415.2
