0 1 0.0000 0.0000 0.0000
0 2 0.8191 -0.2532 -0.1409
0 3 0.7224 -0.2350 -0.1261
0 4 0.5630 -0.2125 -0.1124
0 5 0.5579 -0.1874 -0.1044
0 6 0.4995 -0.1813 -0.0974
0 7 0.4053 -0.1498 -0.0662
0 8 0.3032 -0.0941 -0.0534
0 9 0.2777 -0.0684 -0.0346
0 10 0.2106 -0.0329 -0.0253
0 11 0.1485 -0.0212 -0.0161
0 12 0.1893 -0.0120 -0.0160
0 13 0.2108 -0.0095 -0.0113
0 14 0.1902 -0.0078 -0.0074
0 15 0.2182 -0.0035 -0.0041
0 16 0.1014 0.0031 0.0000
0 17 0.0876 0.0087 0.0016
0 18 0.0672 0.0096 0.0020
0 19 0.1427 0.0089 0.0012
0 20 0.0868 0.0112 0.0033
0 21 0.0266 0.0150 0.0050
0 22 0.0886 0.0115 0.0053
0 23 0.1172 0.0103 0.0051
0 24 0.1189 0.0058 0.0051
0 25 0.0168 0.0096 0.0059
0 26 -0.0028 0.0085 0.0076
0 27 0.0789 0.0018 0.0048
0 28 0.0702 0.0007 0.0024
0 29 0.0923 -0.0007 0.0025
0 30 0.0688 -0.0018 0.0020
0 31 0.0127 0.0003 0.0044
0 32 0.1047 -0.0651 0.0382
0 33 0.0482 -0.0034 0.0027
0 34 0.0927 -0.0065 0.0016
0 35 0.0189 -0.0066 0.0027
0 36 0.0682 -0.0087 0.0014
0 37 0.0421 -0.0083 0.0020
0 38 0.0654 -0.0104 0.0021
0 39 0.0430 -0.0112 0.0013
0 40 0.1100 -0.0130 0.0024
0 41 0.0311 -0.0125 0.0003
0 42 0.0208 -0.0110 -0.0004
0 43 -0.0398 -0.0099 0.0003
0 44 0.0980 -0.0148 -0.0014
0 45 0.0718 -0.0129 -0.0009
0 46 0.0475 -0.0109 -0.0010
0 47 0.0503 -0.0116 -0.0005
0 48 0.0908 -0.0136 0.0006
0 49 0.0177 -0.0128 -0.0008
0 50 0.1021 -0.0158 -0.0013
0 51 -0.0201 -0.0146 -0.0014
0 52 0.0919 -0.0146 -0.0020
0 53 0.0438 -0.0151 -0.0023
0 54 0.0964 -0.0143 -0.0021
0 55 0.1299 -0.0141 -0.0027
0 56 0.0717 -0.0105 -0.0002
0 57 0.0373 -0.0157 -0.0041
0 58 0.1010 -0.0140 -0.0043
0 59 0.0430 -0.0126 -0.0030
0 60 0.0812 -0.0115 -0.0035
0 61 0.1210 -0.0171 -0.0047
0 62 0.0000 0.0000 0.0000
0 63 0.0000 0.0000 0.0000
0 64 0.0000 0.0000 0.0000
0 65 0.0000 0.0000 0.0000
0 66 0.0000 0.0000 0.0000
0 67 0.0000 0.0000 0.0000
0 68 0.0000 0.0000 0.0000
0 69 0.2047 0.0010 0.0014
0 70 0.1320 0.0029 0.0046
0 71 0.1607 0.0035 0.0043
0 72 0.1358 0.0043 0.0050
