 0 1    0              0                0
 0 2    0              0                0
 0 3    0              0                0
 0 4    0              0                0
 0 5    0.124137       0.10147          0
 0 6    0.0567884      0.0682964        0
 0 7    0.00136787     0.0602144        0
 0 8    -0.0342987     0.0578203        0
 0 9    0.0202148      0.0263245        0.07371
 0 10   0.0223256      0.0183018        -0.002343
 0 11   -0.0529206     0.0361171        0.023814
 0 12   -0.0105389     0.043408         0.0073849
 0 13   0.0360262      0.0300135        0.008065
 0 14   0.0242168      0.0254848        0.0039609
 0 15   0.0440296      0.0338028        0.013889
 0 16   -0.0472169     0.028313         -0.01035
 0 17   -0.0673876     0.0237915        0.032299
 0 18   -0.0734865     0.0181438        0.019372
 0 19   0.0154851      0.0137651        0.01805
 0 20   -0.0304329     0.0142944        0.006001
 0 21   -0.113648      0.0284263        0.015947
 0 22   -0.0423827     0.0220831        0.016779
 0 23   -0.00680201    0.0177946        0.0057516
 0 24   0.00252188     0.0153282        0.0033951
 0 25   -0.0850492     0.00491459       0.013955
 0 26   -0.118002      0.0160711        0.017827
 0 27   -0.0297414     0.0133847        0.015165
 0 28   -0.026484      0.00135913       0.01121
 0 29   -0.0107712     0.00604746       0.021378
 0 30   -0.0401073     0.0130963        0.012091
 0 31   -0.0935794     0.016343         0.010632
 0 32   -0.0168077     0.0137311        0.029054
 0 33   -0.0460536     0.00804901       0.019097
 0 34   -0.00715254    0.00723537       0.022714
 0 35   -0.0859283     0.0132943        0.018483
 0 36   -0.0209733     0.00409792       0.019111
 0 37   -0.0513035     0.00614447       0.0021767
 0 38   -0.03523       0.00832001       0.034782
 0 39   -0.0515531     0.0064717        0.024596
 0 40   0.0168867      0.00418182       0.038887
 0 41   -0.0487162     -0.0021516       0.0088177
 0 42   -0.0715758     0.0100884        0.014271
 0 43   -0.125418      0.00090084       0.018861
 0 44   0.0150728      0.00137258       0.02309
 0 45   -0.0256931     0.00718367       0.018858
 0 46   -0.0470395     0.00546849       0.019095
 0 47   -0.0510709     0.01621          0.013782
 0 48   -0.00534905    0.00808903       0.033653
 0 49   -0.0702393     0.00502801       0.029117
 0 50   0.0177618      -0.00111518      0.031721
 0 51   -0.12186       0.022144         0.0042024
 0 52   0.00799127     0.00131576       0.017422
 0 53   -0.0359986     -0.000981123     0.02392
 0 54   0.0137563      0.00278012       0.025258
 0 55   0.0257195      0.0162111        0.022344
 0 56   -0.00283826    -0.00257722      -0.022575
 0 57   -0.0436887     -0.000304954     0.054134
 0 58   0.010613       0.00709228       0.020461
 0 59   -0.0491437     0.0104747        0.021503
 0 60   0.000300587    0.00204179       0.029803
 0 61   0.0425021      -0.00848621      0.038824
 0 62   0              5.59445e-319     0
 0 63   0              2.19368e-316     0
 0 64   0              6.91844e-310     0
 0 65   0              0                0
 0 66   0              0                0
 0 67   0              0                0
 0 68   0              5.59208e-319     0
 0 69   0.0959833      0.0141476        0.035675
 0 70   0.0506828      0.00539352       0.029937
 0 71   0.0848859      0.00344201       0.020317
 0 72   0.0624497      0.00867564       0.019403
 0 73   0.0577114      0.00332833       0.033736
 0 74   0.0185823      0.00512424       0.0045894
 0 75   0.0947988      -0.0022887       0.0054367
 0 76   0.00876064     0.0039066        0.03147
 0 77   0.0562496      -0.00608183      0.031404
 0 78   0.0909436      0.00629734       0.057931
 0 79   0.0444721      -0.0138313       0.017209
 0 80   0.0535911      -0.000651037     0.016244
 0 81   0.0357493      -0.00116888      0.021517
 0 82   0.074028       -0.00180461      0.038972
 0 83   0.0729742      -0.00355728      0.0076759
 0 84   0.0494283      0.000826044      0.01058
 0 85   0.0563089      0.00301932       0.016244
 0 86   0.119579       -0.0129996       0.030687
 0 87   0.0876835      -0.00902744      0.044659
 0 88   0.0680999      -0.00951611      0.014183
 0 89   0.0972778      -0.0048207       0.017387
 0 90   0.0340718      -0.00522832      0.019439
 0 91   0.0165247      -0.0023634       0.020066
 0 92   0.0176903      -0.00360051      0.019668
 0 93   0.0465076      -0.0055749       0.0092653
 0 94   0.0357017      -0.0101558       0.015708
 0 95   0.0986825      -0.000412559     0.042843
 0 96   0.074929       -0.00815612      0.012093
 0 97   0.00272821     -0.00211952      0.023047
 0 98   0.0622707      0.00658905       0.0054836
 0 99   0.0103516      0.0112027        0.0054241
 0 100  0.0452964      -0.0124524       -0.0044114
 0 101  0.0670114      -0.00348976      0.00097834
 0 102  0.0531879      -0.00502759      -0.0016447
 0 103  0.07407        -0.00703756      -0.014963
 0 104  0.123246       -0.0118935       -0.01034
 0 105  0.0300504      -0.011343        -0.016465
 0 106  0.0814723      -0.030914        -0.0034693
 0 107  0.0465625      -0.0459944       -0.017576
 0 108  0.017857       -0.0250381       -0.020741
 0 109  0.0141135      -0.0354441       -0.02804
 0 110  0.00312152     -0.0769651       -0.020321
 0 111  0              0                0
 0 112  0              0                -0.040699
 0 113  -0.18594       -0.0682901       0.098719
 0 114  -0.151305      -0.0956785       0
 0 115  -0.150548      -0.10732         0
 0 116  -0.162769      -0.0775446       0
 0 117  0              -0.165658        0
 0 118  0              0                0
 0 119  0              0                0
 0 120  0              0                0
 0 121  0              0                0
 0 122  0              5.57074e-319     0
 1 1    0              2.19368e-316     0
 1 2    0              0                0
 1 3    0              0                0
 1 4    0              0                0
